# MCGRATH_AP
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
33,18.00,31.00,19.50,0.00,14.00,0.00,0.00,23.50,19.00,0.00,21.00,6.00,11.50,25.00,44.50,7.50,6.50,0.00,57.00,6.50,5.50,3.50,1.00,13.50,0.00,4.50,3.00,0.00,21.00,0.00,0.00,5.00,0.00,6.50,3.00,22.50,10.50,4.50,3.50,36.00,9.50,3.00,1.50
34,24.00,31.00,19.50,3.00,14.00,0.00,0.00,23.50,19.00,0.00,22.00,6.00,11.50,25.00,44.50,11.50,6.50,0.50,61.00,6.50,5.50,3.50,1.00,13.50,0.00,4.50,3.00,1.50,22.00,0.00,0.00,6.00,0.00,6.50,3.00,22.50,10.50,12.50,3.50,36.00,14.00,3.00,1.50
35,24.00,31.00,27.50,5.00,15.00,0.00,0.00,23.50,19.00,0.00,22.00,6.00,11.50,25.00,45.50,16.50,6.50,6.50,61.50,7.00,5.50,3.50,1.00,13.50,0.00,4.50,3.00,4.00,22.00,0.00,0.00,6.00,0.00,6.50,3.00,22.50,12.00,13.50,3.50,36.00,14.00,3.00,1.50
36,24.00,31.00,35.00,7.00,15.00,0.00,0.00,23.50,19.00,0.00,30.00,6.00,11.50,25.00,46.00,18.50,6.50,14.00,66.50,7.00,5.50,3.50,1.00,13.50,11.50,4.50,3.00,11.00,22.00,0.00,0.00,6.00,0.00,6.50,3.00,26.00,15.00,19.00,3.50,36.00,14.00,3.00,1.50
37,24.00,31.00,39.50,7.00,15.00,0.00,0.00,23.50,19.00,2.50,38.00,6.00,11.50,25.00,46.00,21.50,6.50,23.00,66.50,7.00,5.50,5.00,1.00,13.50,19.00,4.50,3.00,22.00,22.00,0.00,0.00,6.00,0.00,6.50,3.00,34.00,19.50,20.00,3.50,40.00,14.00,3.00,1.50
38,26.00,31.00,43.00,7.00,15.00,0.00,0.00,23.50,19.00,8.50,39.50,6.00,12.50,25.00,46.00,21.50,6.50,29.50,66.50,7.00,5.50,7.50,1.00,13.50,26.50,4.50,3.00,30.50,22.00,0.00,0.00,10.00,0.00,6.50,3.00,35.50,20.50,20.00,3.50,44.00,14.00,3.00,1.50
39,26.00,32.00,43.00,7.00,15.00,0.00,0.00,23.50,19.00,8.50,42.50,6.00,12.50,25.00,46.00,24.50,6.50,34.50,73.50,7.00,5.50,7.50,1.00,13.50,36.00,4.50,6.00,40.50,22.00,0.00,0.00,10.00,0.00,6.50,3.00,40.50,25.00,21.50,3.50,45.50,14.00,3.00,1.50
40,26.00,32.00,43.00,7.00,15.00,0.00,0.00,23.50,19.00,11.50,47.00,6.00,12.50,27.50,46.00,27.50,6.50,43.00,79.00,7.50,5.50,12.00,1.00,13.50,42.00,4.50,6.00,50.50,22.00,4.50,0.00,10.00,0.00,6.50,3.00,43.00,30.00,23.00,3.50,51.50,14.00,3.00,1.50
41,26.00,32.00,43.00,7.00,15.00,0.00,0.00,23.50,24.00,15.50,52.00,6.00,12.50,32.00,46.00,29.50,6.50,50.50,83.50,7.50,7.00,13.00,1.00,13.50,48.00,4.50,6.00,56.00,22.00,4.50,3.00,10.00,0.00,6.50,3.00,43.00,35.00,25.50,5.00,54.50,14.00,3.00,1.50
42,26.00,32.00,43.00,7.00,15.00,0.00,0.00,23.50,29.50,15.50,55.50,6.00,12.50,35.00,46.00,29.50,6.50,56.00,83.50,7.50,15.00,13.00,1.00,21.50,51.50,4.50,6.00,61.50,22.00,4.50,4.00,10.00,1.00,6.50,3.00,43.00,39.50,27.50,14.50,63.50,17.00,4.50,1.50
43,26.00,32.00,43.00,7.00,15.00,0.00,0.00,23.50,32.00,21.50,62.50,6.00,12.50,42.50,46.00,32.00,6.50,58.50,90.50,7.50,23.50,13.00,1.00,26.50,54.00,4.50,6.00,64.00,22.00,4.50,4.00,10.00,1.50,6.50,12.00,43.00,39.50,32.00,21.00,67.00,19.50,7.00,2.50
44,27.50,32.00,43.00,7.00,15.00,0.00,3.00,23.50,38.50,24.00,70.00,12.50,12.50,49.50,46.00,35.00,9.00,58.50,98.00,10.00,33.50,13.00,1.00,30.50,59.00,4.50,6.00,65.50,22.00,4.50,4.00,10.00,3.00,6.50,18.00,43.00,42.50,35.00,26.00,73.50,21.50,7.00,2.50
45,27.50,32.00,43.00,10.00,15.00,0.00,3.00,23.50,48.00,24.00,74.50,19.00,15.50,58.00,46.00,44.00,9.00,58.50,106.00,10.00,38.00,13.00,1.00,37.50,68.50,4.50,6.00,69.50,22.00,4.50,4.00,10.00,11.50,6.50,20.50,43.00,43.50,40.00,26.50,78.00,28.50,11.50,3.00
46,27.50,32.00,43.00,10.00,15.00,0.00,5.00,23.50,60.00,25.50,80.50,24.00,21.50,66.50,46.00,50.00,9.00,58.50,116.50,10.50,38.00,16.00,1.00,39.00,73.00,4.50,6.00,73.50,22.00,4.50,5.50,10.00,20.00,6.50,28.00,43.00,47.00,41.00,28.00,78.00,37.00,14.50,3.00
47,27.50,32.00,43.00,10.00,15.00,0.00,8.00,23.50,70.00,28.00,89.50,25.50,25.50,75.50,46.00,56.00,9.00,58.50,125.50,20.50,38.00,20.00,4.50,39.00,76.50,4.50,6.00,75.50,22.00,4.50,14.50,10.00,28.50,6.50,33.00,46.50,55.50,42.50,33.50,78.00,46.00,18.00,3.00
48,28.00,35.50,43.00,11.50,15.00,0.00,10.00,23.50,74.00,30.50,96.50,28.50,31.50,86.00,48.50,59.00,9.00,58.50,137.50,34.50,38.00,22.00,4.50,43.00,84.50,4.50,6.00,86.00,28.00,4.50,23.00,10.00,37.00,6.50,42.00,61.00,61.50,42.50,41.50,78.00,56.50,28.00,3.00
49,29.00,38.50,43.00,13.50,15.00,0.00,10.00,23.50,79.00,35.00,102.00,31.50,36.00,91.50,55.00,67.00,13.50,58.50,146.50,47.50,40.50,23.00,4.50,45.50,91.00,4.50,6.00,97.50,30.00,4.50,32.00,10.00,45.50,6.50,52.00,70.50,70.00,42.50,43.50,78.00,62.00,40.50,3.00
50,33.50,41.00,43.00,17.00,15.00,0.00,10.00,23.50,83.50,40.50,109.00,39.00,42.50,100.50,63.00,72.50,18.50,58.50,156.00,58.50,47.50,23.50,4.50,49.00,98.50,4.50,6.00,105.50,37.50,4.50,41.50,10.00,51.50,6.50,62.00,70.50,81.00,44.50,43.50,78.00,68.50,50.00,3.00
51,36.50,47.50,43.00,18.50,15.00,0.00,10.00,24.50,83.50,42.50,118.50,45.50,44.50,108.00,73.50,81.00,27.50,60.50,162.00,65.50,54.50,29.00,4.50,57.50,108.50,7.50,8.50,114.00,49.00,6.50,47.50,10.00,54.00,6.50,72.00,73.00,90.00,48.50,43.50,78.50,70.00,57.50,3.00
52,43.00,54.50,43.00,24.00,15.00,0.00,10.00,28.50,83.50,42.50,126.50,53.00,44.50,114.00,83.00,91.50,36.00,60.50,171.50,72.00,58.50,38.50,4.50,69.00,122.50,16.00,11.00,126.00,58.50,8.00,52.00,16.00,59.50,6.50,81.50,76.00,101.50,55.50,43.50,78.50,74.00,66.00,11.00
53,49.50,61.00,48.00,34.00,15.00,0.00,10.00,28.50,86.00,47.50,129.00,56.50,44.50,121.50,95.50,100.00,47.00,72.00,180.50,74.50,58.50,40.00,4.50,81.00,132.00,16.00,13.50,139.00,67.00,14.50,53.50,25.50,68.50,9.00,90.50,83.50,114.50,67.00,48.00,78.50,80.50,74.50,21.00
54,54.50,63.50,54.50,43.00,15.00,0.00,10.00,28.50,91.50,52.50,131.00,64.00,47.00,128.50,103.50,109.50,48.50,83.50,193.00,74.50,61.00,41.50,4.50,93.50,141.50,23.00,16.00,151.50,70.50,18.00,55.50,36.00,75.00,12.00,101.00,92.50,132.50,80.00,54.00,78.50,84.00,85.00,27.50
55,62.00,71.50,58.50,48.50,15.00,0.00,10.00,28.50,97.00,56.50,137.50,74.00,51.50,134.00,113.50,120.00,53.50,100.00,202.50,74.50,65.50,45.00,4.50,104.50,151.50,30.50,18.50,163.00,70.50,26.50,63.50,45.50,83.00,12.00,108.50,102.00,148.50,91.50,63.50,79.50,84.50,96.50,36.50
56,72.50,77.00,65.00,55.00,19.00,0.00,10.00,33.50,109.50,59.00,140.50,84.00,56.00,138.00,126.50,129.50,55.50,114.00,209.50,74.50,65.50,49.50,11.50,118.00,158.50,41.00,19.50,174.50,70.50,40.50,79.00,54.00,91.50,12.00,118.50,112.50,165.00,102.00,72.00,81.00,84.50,108.50,48.00
57,84.50,77.00,69.00,63.00,21.00,0.00,10.00,38.50,120.00,64.50,147.00,89.50,62.50,142.00,138.00,134.00,63.50,126.00,217.50,74.50,66.50,55.00,21.00,128.50,162.50,55.00,20.50,185.50,70.50,54.50,92.50,60.50,102.00,12.00,132.00,127.00,180.00,112.50,78.00,84.50,85.00,113.50,55.50
