# YAKUTAT_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37,181.00,266.00,37.00,161.00,217.50,82.00,103.00,121.00,129.50,44.50,123.00,65.00,126.00,114.00,160.00,102.00,80.50,71.00,162.50,59.00,131.00,98.00,13.50,86.00,104.00,184.50,72.50,23.00,82.00,19.50,127.50,118.50,45.50,33.00,52.50,196.50,281.50,87.00,114.50,285.50,40.00,25.00,150.00
38,189.00,270.00,38.00,163.00,221.50,86.00,103.00,127.50,134.50,45.00,133.50,65.50,128.00,120.50,163.50,110.50,80.50,77.50,166.00,59.00,133.50,100.50,13.50,91.00,113.50,187.00,78.00,31.00,82.50,22.50,127.50,123.50,49.50,38.50,56.50,201.00,294.00,91.50,125.50,296.00,43.00,25.00,154.00
39,197.50,271.50,38.50,163.00,231.00,86.00,103.00,138.50,142.00,48.00,143.50,66.50,128.50,125.50,167.50,115.50,80.50,82.50,169.50,61.00,136.00,104.00,13.50,96.50,119.00,193.50,83.00,37.00,84.50,25.00,128.00,129.00,51.50,41.00,56.50,207.00,303.50,101.00,139.00,306.50,45.50,25.00,157.00
40,205.50,271.50,39.00,165.00,242.00,86.00,103.00,146.00,146.00,57.00,150.50,66.50,129.00,129.50,175.00,121.50,86.00,93.50,171.50,64.50,136.00,106.00,13.50,105.00,122.00,198.50,88.00,40.50,87.00,26.50,128.00,133.00,56.50,41.00,56.50,211.00,314.50,112.50,153.50,315.50,46.50,25.00,160.00
41,216.00,277.00,44.50,165.50,250.50,86.00,103.00,150.00,149.50,63.50,158.00,71.00,134.00,132.00,184.00,127.00,91.50,103.50,175.50,67.00,141.00,111.50,13.50,115.00,129.50,204.00,93.00,44.50,94.50,30.00,129.50,135.00,66.50,41.00,56.50,214.50,326.00,121.50,164.00,322.00,48.00,25.00,161.50
42,223.50,277.50,50.50,170.00,256.50,90.50,103.00,156.50,158.00,67.00,167.00,77.50,140.00,139.50,189.50,132.00,95.50,110.50,180.00,71.50,146.50,115.50,13.50,120.50,138.00,211.50,96.00,46.50,101.00,33.50,135.00,143.00,75.50,42.50,56.50,217.00,337.50,134.50,172.50,333.00,52.50,27.50,163.00
43,228.50,281.00,55.50,179.00,261.00,90.50,103.00,164.00,165.50,74.00,176.50,86.00,145.50,146.50,195.00,135.50,100.00,117.50,184.50,75.00,152.00,119.50,13.50,129.50,148.50,220.00,101.50,50.50,108.00,33.50,142.50,149.00,82.00,42.50,61.00,217.50,348.50,147.00,181.50,340.50,60.50,32.50,163.00
44,236.50,283.50,58.50,189.00,268.50,90.50,103.50,169.50,171.00,80.00,184.00,94.00,152.50,157.00,201.00,137.50,108.00,121.50,190.00,78.50,155.00,125.00,13.50,139.50,157.50,224.00,105.50,54.50,114.00,34.00,151.00,156.00,87.50,42.50,69.00,219.50,355.00,160.00,188.00,347.00,72.00,39.50,165.00
45,242.50,283.50,60.50,195.00,274.00,91.50,108.00,176.00,178.00,86.00,193.50,100.00,164.50,170.50,206.00,139.00,124.00,125.50,197.50,82.50,161.00,131.50,15.00,148.00,164.50,231.50,108.00,60.00,118.50,37.50,156.50,165.50,95.50,42.50,77.00,226.50,365.50,166.50,195.50,354.50,81.50,48.50,166.00
46,252.50,283.50,63.00,199.50,279.00,94.50,110.50,182.00,187.00,93.50,206.00,106.00,175.50,187.50,207.50,144.00,134.50,131.00,208.00,86.50,166.50,135.00,15.00,153.50,170.00,237.50,113.00,64.50,123.00,45.00,162.50,173.50,107.00,43.50,83.50,234.00,373.50,172.50,200.50,361.50,90.00,59.50,170.00
47,260.50,288.00,64.50,204.50,287.50,97.00,113.00,183.00,195.00,99.00,218.00,113.00,182.00,197.00,210.00,151.00,145.50,135.00,217.50,96.50,172.50,140.50,15.00,158.00,178.00,241.00,117.50,68.00,123.00,46.50,173.00,179.50,114.00,48.00,91.50,241.00,380.00,181.00,203.50,369.00,98.50,75.00,174.00
48,273.00,296.00,66.50,209.00,295.50,98.00,115.50,185.50,204.50,106.00,233.50,120.00,192.50,207.50,216.00,156.50,154.00,139.50,227.00,108.50,178.50,150.00,18.50,167.00,182.50,247.00,121.00,72.00,123.00,49.00,184.00,186.00,122.00,48.00,96.50,247.50,387.50,187.50,209.50,377.50,106.50,91.00,177.00
49,282.00,304.50,71.00,214.00,305.00,102.00,117.00,188.50,210.00,116.00,245.00,129.00,204.50,216.50,226.50,163.50,165.00,144.50,233.00,120.00,183.00,157.00,22.50,176.50,188.00,257.00,127.00,77.00,123.00,53.00,196.00,191.00,129.00,48.00,105.50,258.50,394.50,192.50,218.00,385.00,114.50,104.50,181.00
