# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37,261.54,338.73,391.50,202.00,325.32,186.00,316.00,256.00,383.00,294.50,265.50,195.73,289.00,199.50,294.50,233.00,99.00,229.50,295.50,313.50,184.00,187.50,206.50,135.00,293.00,245.50,182.50,235.00,265.00,417.00,478.50,178.51,281.50,366.50,200.50,200.50,308.00
38,269.54,346.73,402.00,209.00,337.82,194.50,324.00,271.00,398.50,307.50,273.50,209.23,294.00,204.00,301.00,239.00,103.50,235.00,309.50,321.00,188.50,200.50,211.00,145.50,297.00,253.00,193.50,245.00,274.50,432.00,491.50,190.51,292.50,379.00,206.50,203.00,315.00
39,285.04,354.23,410.50,220.50,350.82,202.50,327.00,283.00,417.00,320.00,285.50,220.73,299.50,209.50,309.50,247.00,107.50,241.00,323.50,330.00,197.50,213.00,214.50,153.50,300.00,259.50,208.50,257.00,283.50,444.50,503.50,201.01,306.50,390.50,214.50,205.50,320.50
40,298.54,362.73,421.50,235.00,367.32,210.50,331.50,292.00,431.50,330.00,298.50,231.73,308.00,221.00,317.50,256.50,112.00,254.50,336.00,338.00,204.00,221.50,222.00,159.00,306.50,264.50,221.50,264.50,295.50,451.50,520.50,212.51,325.00,400.50,224.00,207.00,329.50
41,309.04,372.23,432.00,247.50,382.82,219.50,337.50,299.00,444.50,340.50,312.00,242.23,315.00,228.00,331.50,266.00,115.00,267.00,353.00,347.00,211.00,227.50,230.50,167.50,321.00,269.50,236.50,269.00,307.50,460.00,536.50,222.51,343.50,409.50,233.00,212.00,335.00
42,320.04,379.23,443.00,255.00,398.82,230.00,347.50,309.50,453.00,350.00,325.00,251.23,321.00,234.00,349.50,272.50,123.50,280.00,363.50,355.00,216.00,237.00,243.50,178.50,333.00,277.00,249.00,275.00,319.00,466.00,551.50,241.51,356.00,423.50,245.00,218.00,341.00
43,327.54,391.73,454.00,265.50,415.82,238.00,357.50,320.00,462.00,364.00,338.00,260.23,330.00,242.00,357.50,280.50,133.00,298.00,373.50,363.50,221.50,245.50,249.00,190.00,344.50,285.00,265.00,285.00,330.50,474.00,566.50,260.51,365.00,435.50,257.00,228.50,344.00
44,342.04,399.73,467.00,278.00,429.82,250.50,373.50,337.00,474.00,372.50,353.50,268.23,342.00,250.00,365.50,290.00,140.50,315.00,390.00,372.50,225.00,254.50,254.50,199.00,361.00,292.00,278.00,297.00,344.00,483.00,582.50,276.51,373.50,447.00,272.50,239.50,349.50
45,354.04,412.73,479.00,287.00,449.82,264.00,388.50,351.50,485.00,384.00,370.00,281.23,352.00,265.00,370.50,302.00,144.00,328.00,402.50,381.00,232.00,261.50,263.00,208.00,379.50,298.50,292.00,309.50,357.00,495.00,597.00,291.01,385.50,458.50,288.00,255.00,356.00
46,363.54,426.73,486.50,298.00,471.32,281.00,404.50,366.50,496.50,394.50,386.00,293.73,364.50,280.50,378.50,318.50,153.50,334.50,411.50,394.50,238.50,272.00,270.50,220.00,394.00,306.50,307.00,320.00,370.50,506.50,610.50,306.51,397.50,469.50,304.50,272.00,362.00
