# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
37,169.00,268.00,67.50,168.00,297.50,160.50,159.50,199.50,215.00,127.00,196.00,117.00,192.50,189.00,224.50,119.00,113.00,101.50,191.00,115.50,191.50,148.00,55.00,107.50,150.00,218.00,115.50,50.00,144.00,42.50,186.50,94.00,105.00,74.50,106.50,233.50,330.00,112.50,92.50,293.00,60.50,91.50,205.50
38,180.50,272.00,74.00,173.50,309.00,170.50,159.50,209.00,222.50,131.00,206.00,121.50,195.00,198.00,234.50,130.00,117.50,111.00,199.00,118.50,196.50,149.00,55.00,119.00,159.00,223.50,126.00,60.00,147.00,48.50,190.00,98.50,111.50,84.00,115.00,244.50,342.00,120.50,102.00,302.50,66.00,91.50,213.50
39,192.00,275.50,84.00,178.00,323.00,175.00,159.50,220.00,229.50,137.50,215.00,127.00,197.50,208.50,242.00,137.00,124.00,119.50,205.00,124.50,199.50,155.00,55.00,126.50,165.50,233.00,135.50,67.50,151.50,54.00,194.00,103.50,119.00,90.00,119.00,257.50,353.00,132.50,113.50,312.00,69.50,92.50,218.00
40,204.00,275.50,91.00,181.00,338.50,178.50,159.50,230.00,235.00,146.50,224.00,132.50,199.50,216.00,253.50,144.00,131.50,130.50,211.50,132.00,202.50,161.50,59.00,137.00,176.00,242.50,144.50,74.50,157.00,59.00,198.50,107.50,127.50,93.00,123.50,264.00,362.50,143.50,125.50,320.00,72.00,92.50,220.50
41,214.00,277.00,97.00,185.50,353.50,178.50,159.50,240.00,238.50,155.50,231.00,137.50,205.00,222.00,262.00,153.00,140.00,139.50,217.50,137.50,207.50,170.00,64.00,147.00,188.00,250.50,151.50,79.00,160.50,65.00,204.00,111.00,140.00,94.00,128.00,270.00,375.50,153.00,140.50,328.00,76.00,92.50,220.50
42,227.50,277.50,105.50,192.00,369.00,188.00,159.50,247.50,244.50,162.50,243.50,145.50,212.50,233.00,266.50,161.50,144.50,151.00,223.00,144.00,217.00,177.50,65.00,157.00,201.50,260.50,154.50,83.50,169.00,71.50,209.50,119.50,155.50,99.50,131.50,274.50,389.00,165.50,155.50,338.50,83.50,95.50,222.00
43,235.50,278.00,111.00,202.50,376.50,193.50,159.50,259.00,249.50,170.00,259.00,155.00,223.50,242.00,274.00,170.50,150.00,161.50,233.00,151.50,221.00,186.50,70.00,167.00,212.00,270.50,161.50,90.00,175.00,77.50,217.00,129.50,168.00,103.50,138.00,280.00,400.50,180.00,167.50,349.00,93.50,101.50,222.50
44,239.50,281.00,113.00,215.00,388.00,196.00,163.50,268.00,260.00,175.00,273.50,164.50,233.50,255.00,279.00,177.50,157.50,172.50,240.50,159.00,227.00,193.50,77.50,177.00,220.00,278.00,166.50,96.00,179.00,83.50,228.00,136.00,178.00,109.00,146.50,287.00,407.00,191.50,176.00,360.00,106.00,112.00,224.00
45,245.00,281.00,118.00,225.50,401.50,204.00,168.50,276.50,268.00,182.00,288.00,173.50,247.50,270.00,284.50,184.50,172.50,183.00,251.50,166.50,236.50,200.00,81.00,184.50,227.50,284.50,169.00,102.50,185.50,91.50,237.50,143.50,192.50,113.00,158.50,295.50,420.50,200.50,184.50,371.00,114.50,121.00,227.00
46,250.00,282.50,123.00,236.00,410.50,207.50,175.00,281.50,279.50,188.50,299.00,182.00,260.00,285.50,289.50,193.50,186.50,193.50,264.50,175.50,244.00,208.50,85.00,189.00,233.50,294.00,173.50,111.50,189.50,100.50,249.00,150.50,207.50,116.50,171.00,305.00,434.00,211.00,189.00,382.50,126.00,134.00,234.00
