# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,120.00,102.75,44.25,79.75,185.00,49.00,37.00,105.50,77.25,44.50,106.00,52.25,79.75,77.50,146.50,96.00,75.00,44.50,105.00,46.67,76.50,55.62,25.83,48.83,55.88,71.00,33.38,16.62,82.75,15.75,60.93,35.50,36.75,20.50,36.62,106.00,161.88,55.50,28.50,221.38,45.50,9.62,66.25,28.67,91.00
37,131.25,103.25,55.50,83.50,189.25,55.00,37.00,110.50,77.25,46.00,113.50,57.50,80.50,82.00,152.00,102.00,76.25,54.25,112.83,46.67,78.83,60.50,28.33,52.67,67.25,78.50,37.12,26.25,82.75,16.38,62.56,36.38,43.88,20.50,40.12,117.62,171.62,61.17,30.62,229.38,45.50,9.62,68.00,28.67,94.38
38,142.50,103.75,59.75,86.75,193.50,56.50,37.00,118.50,81.00,51.25,120.75,61.00,83.25,93.00,159.75,110.25,77.25,65.00,119.83,46.67,80.50,65.38,28.33,56.50,80.75,82.62,39.88,38.62,82.75,16.38,62.93,40.50,49.88,20.50,40.88,126.38,181.50,66.00,34.50,240.50,46.00,9.62,69.12,28.67,97.25
39,152.75,104.25,63.50,89.25,200.50,56.50,37.00,124.25,88.75,52.75,126.75,65.50,86.75,105.00,168.25,122.50,79.75,73.25,126.83,46.67,82.83,68.38,30.50,62.50,91.25,88.25,44.75,51.50,83.75,19.62,63.56,42.50,54.62,20.50,40.88,135.12,194.25,71.00,40.50,252.75,46.00,9.62,70.25,28.67,99.75
40,160.75,106.25,65.75,90.25,203.50,56.50,37.00,132.00,93.00,65.75,134.00,69.50,88.75,115.75,174.75,135.50,85.00,83.00,134.33,49.83,84.67,75.50,30.83,67.83,99.00,93.88,51.12,62.50,83.75,24.38,65.56,43.25,59.25,20.50,40.88,143.00,209.88,77.67,47.38,265.75,47.25,9.62,71.50,28.67,102.70
41,169.25,108.00,68.00,90.25,206.75,56.50,37.00,138.25,100.25,77.50,145.00,73.25,88.75,126.00,183.50,147.00,90.25,92.75,143.50,55.50,88.33,87.12,30.83,74.17,106.12,98.75,53.75,71.12,83.75,29.75,71.18,45.38,66.12,20.50,41.25,151.00,224.50,86.17,59.50,279.88,49.25,9.62,73.62,28.67,106.32
42,177.75,111.00,72.00,92.00,213.25,56.50,39.25,143.50,111.50,88.25,153.25,82.00,88.75,135.25,191.75,157.75,95.25,100.75,151.33,61.17,94.00,97.50,31.00,84.33,115.75,103.38,55.38,80.00,83.75,33.62,78.18,46.88,76.12,20.50,42.38,158.50,237.75,97.83,71.88,292.50,57.62,15.50,80.00,31.17,110.37
43,186.00,112.75,74.00,101.75,224.00,56.50,42.50,151.00,123.00,96.25,162.25,90.50,88.75,143.50,198.25,167.00,100.25,112.25,156.17,64.83,100.50,103.62,32.00,96.00,123.12,106.12,57.75,88.12,83.75,38.62,85.18,49.00,88.25,20.50,50.12,163.88,247.50,108.00,82.62,306.25,68.25,23.12,84.25,31.17,114.80
44,192.75,113.25,74.00,112.75,235.25,56.50,47.00,162.00,132.50,105.75,171.75,101.25,92.50,154.50,203.50,177.00,107.50,119.00,166.83,70.17,106.50,109.12,32.17,107.33,131.25,108.62,59.62,95.25,87.75,42.38,89.68,51.38,100.88,20.50,60.25,169.25,257.88,115.83,89.62,318.38,78.25,33.12,87.38,33.50,119.99
45,198.75,115.75,78.75,123.50,244.50,66.00,52.50,175.00,142.25,119.25,181.25,114.50,101.50,168.25,204.00,186.25,121.50,126.50,181.67,77.50,113.17,117.12,32.83,115.00,139.25,112.25,60.12,104.12,89.88,47.38,95.68,54.75,113.88,20.88,70.75,177.50,267.75,124.00,92.88,328.62,92.38,44.12,90.75,36.83,125.73
