# Cumulative DD25 averaged for Kobuk River at Ambler
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,66.75,43.00,21.00,10.50,39.50,2.50,3.00,41.25,1.50,2.50,35.50,1.75,6.50,29.25,27.75,21.25,25.50,12.75,34.50,9.83,13.33,10.75,13.50,4.83,13.75,11.50,5.62,13.50,33.00,1.50,6.18,12.25,7.50,6.00,11.12,28.25,55.50,7.17,7.62,142.50,42.12,3.88,9.75,9.67,34.88
37,66.75,43.00,23.00,10.50,39.50,2.50,3.00,43.00,1.50,8.50,41.25,1.75,9.50,29.25,27.75,22.00,25.50,16.00,37.00,9.83,13.33,12.50,13.50,4.83,25.00,14.62,6.50,19.00,33.00,1.50,6.93,12.25,10.25,6.00,12.38,35.62,61.88,9.50,7.62,145.50,42.12,3.88,9.75,9.67,36.00
38,66.75,45.25,24.25,10.50,39.50,2.50,3.00,43.00,1.50,15.25,47.25,1.75,12.25,29.25,27.75,22.00,25.50,22.00,39.00,9.83,13.33,14.75,13.50,4.83,35.62,16.00,7.25,26.75,33.00,1.50,6.93,14.25,14.00,6.00,12.38,40.00,67.62,9.50,7.62,152.17,42.12,3.88,9.75,9.67,37.38
39,66.75,47.25,24.25,10.50,39.50,2.50,3.00,43.00,1.50,16.50,52.25,1.75,12.25,29.25,27.75,22.00,25.50,33.00,42.50,9.83,13.33,16.00,13.50,4.83,47.00,18.38,10.62,35.62,33.00,2.88,6.93,14.25,18.00,6.00,12.38,45.25,74.62,9.50,9.00,160.83,42.12,3.88,10.00,9.67,37.77
40,66.75,50.75,24.25,10.50,39.50,2.50,3.00,43.00,1.50,16.50,54.00,1.75,12.25,29.25,27.75,22.00,26.75,43.75,48.50,10.33,13.67,18.38,13.50,4.83,56.25,20.88,13.50,42.38,33.00,4.50,8.68,14.25,20.88,6.00,12.38,48.88,88.38,9.50,12.00,169.50,43.88,3.88,11.25,9.67,38.42
41,66.75,53.25,24.25,10.50,39.50,2.50,3.75,43.00,1.50,19.25,54.25,1.75,12.25,29.25,27.75,22.00,26.75,53.00,53.17,10.33,15.67,24.00,13.50,4.83,64.12,21.25,14.50,48.12,33.00,7.50,13.68,14.25,23.50,6.00,12.38,52.38,98.88,11.17,17.25,181.50,46.12,3.88,12.50,9.67,39.27
42,66.75,53.25,24.25,10.50,39.50,2.50,7.25,43.00,5.50,25.75,55.25,1.75,12.25,33.50,27.75,22.00,26.75,57.50,59.33,10.67,19.33,28.62,13.83,10.83,75.75,21.25,14.50,53.62,33.00,9.62,18.68,14.25,27.50,6.00,12.62,54.50,109.00,17.00,22.75,192.00,51.25,7.50,18.38,9.67,40.30
43,66.75,53.25,24.25,10.50,39.50,2.50,10.50,43.00,10.75,34.75,56.25,1.75,12.25,39.00,27.75,22.00,26.75,57.50,63.50,10.67,24.83,31.62,14.67,17.67,82.25,21.50,14.50,57.38,33.00,12.25,22.31,14.25,33.75,6.00,17.88,56.75,114.88,22.17,29.25,202.00,56.25,12.88,24.00,9.67,41.68
44,66.75,53.25,24.25,11.00,39.50,2.50,12.00,43.00,14.50,37.50,56.25,8.75,12.25,45.00,27.75,23.00,31.00,57.50,72.33,10.67,30.50,35.00,14.67,25.17,87.50,21.75,14.50,60.12,33.50,13.25,24.56,14.25,39.50,6.00,25.25,58.62,119.75,26.83,32.00,209.67,63.62,18.25,29.62,9.67,43.29
45,66.75,53.25,24.25,18.50,39.50,2.50,13.75,43.00,20.25,42.50,56.25,11.50,13.75,51.25,27.75,27.00,32.25,57.50,83.00,11.50,35.17,38.62,14.67,30.83,96.00,22.25,14.50,64.88,33.88,15.25,28.31,14.25,45.25,6.00,33.50,61.75,123.12,33.17,33.38,215.33,74.00,23.88,34.38,9.67,45.09
46,66.75,53.50,24.25,20.75,39.50,2.50,13.75,43.00,27.25,47.50,56.25,16.50,21.75,57.50,27.75,33.00,32.25,57.50,91.17,13.00,37.50,44.62,14.67,35.00,103.50,23.12,14.50,69.00,33.88,18.12,30.93,15.00,53.00,6.00,42.88,65.12,127.88,36.33,37.38,221.00,85.38,28.12,36.50,10.00,47.05
47,66.75,53.50,24.25,23.75,39.50,2.50,13.75,43.00,36.25,52.50,56.25,18.25,24.75,59.50,27.75,38.75,32.25,57.50,97.50,16.33,38.33,50.00,14.67,38.17,111.25,24.50,14.50,73.62,33.88,20.38,39.56,15.62,60.12,6.00,50.62,70.62,135.12,38.50,42.50,225.00,96.62,34.75,39.25,12.83,49.41
48,66.75,55.00,24.25,28.25,39.50,2.50,13.75,43.00,42.75,57.50,56.25,20.75,24.75,63.25,27.75,43.25,32.25,57.50,103.00,23.67,38.33,52.62,16.50,39.67,119.25,24.62,14.50,80.62,38.12,22.88,52.56,17.75,68.25,6.12,61.00,77.62,145.50,39.67,49.12,230.00,109.12,45.12,43.88,13.83,52.53
49,66.75,59.50,24.25,35.25,39.50,2.50,13.75,43.00,45.25,60.75,56.25,25.75,24.75,69.75,27.75,43.75,32.25,57.50,105.83,31.33,38.33,53.38,18.83,42.33,126.62,25.38,16.38,86.62,44.12,24.75,64.06,20.25,76.38,6.12,71.62,91.62,158.75,42.17,52.25,235.67,121.50,55.38,48.00,13.83,56.13
50,66.75,62.25,24.25,43.00,39.50,2.50,13.75,43.00,51.75,63.00,60.50,33.75,24.75,77.50,27.75,43.75,38.00,57.50,111.00,37.33,44.67,56.88,23.00,46.83,134.00,26.75,18.25,94.25,54.88,27.12,75.43,22.12,83.75,6.50,84.12,100.50,173.50,44.17,52.50,238.33,132.25,64.50,51.12,14.50,60.75
51,69.25,62.25,24.25,43.00,39.50,2.50,13.75,43.00,53.50,64.25,64.25,44.00,24.75,87.50,27.75,43.75,47.75,57.50,115.00,43.33,49.00,65.62,24.67,54.57,141.25,31.62,21.88,101.00,66.75,29.62,81.93,23.00,90.25,7.12,97.12,104.88,188.88,47.50,52.50,245.83,139.88,70.00,55.00,16.33,65.57
52,69.25,62.25,24.25,51.75,39.50,2.50,13.75,43.00,56.25,65.75,64.25,52.50,24.75,99.25,27.75,49.25,59.25,57.50,122.50,47.83,51.50,72.00,25.50,62.23,149.75,42.88,26.62,114.25,79.38,33.38,87.68,27.25,99.00,8.88,112.38,108.38,203.38,53.67,55.62,256.17,146.12,79.25,62.62,18.67,71.86
53,70.00,62.25,24.25,65.00,39.50,2.50,13.75,43.00,60.75,69.50,64.25,57.00,24.75,105.25,27.75,57.75,66.25,57.50,131.50,52.83,56.00,77.62,25.50,71.73,158.38,51.12,32.25,127.12,90.25,40.25,92.93,34.62,110.00,11.50,126.88,115.38,214.62,60.00,62.25,263.33,152.12,92.75,71.38,18.67,78.35
54,77.75,62.25,24.50,74.50,39.50,2.50,13.75,43.00,68.75,72.75,64.25,62.00,25.75,107.50,27.75,67.25,69.25,62.25,139.33,55.50,58.50,81.88,25.50,84.06,164.12,59.50,39.88,138.25,95.25,47.75,96.56,45.75,119.62,16.50,141.38,127.38,227.12,70.33,73.25,267.83,159.12,105.12,82.25,18.67,84.91
55,79.00,62.25,24.50,80.50,39.50,2.50,13.75,43.00,78.75,72.75,64.75,63.75,30.00,110.00,27.75,76.50,69.75,72.75,145.17,57.67,61.00,85.50,25.83,95.56,171.25,72.25,44.38,147.75,98.75,55.38,101.93,54.12,129.00,16.50,155.12,138.12,241.00,82.50,84.38,273.00,163.88,119.50,92.50,18.67,91.23
56,85.75,62.25,24.50,88.75,39.75,2.50,13.75,43.00,89.75,72.75,69.50,67.00,30.50,112.50,28.50,82.50,69.75,85.25,151.00,58.67,63.67,90.62,34.50,108.06,181.00,86.62,47.75,156.62,105.73,67.75,110.68,62.88,138.75,17.62,170.00,146.75,255.12,94.67,93.38,278.17,167.88,134.50,100.50,20.50,97.78
