# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,122.50,175.00,92.75,49.25,106.50,21.75,15.75,118.75,25.50,19.75,94.75,55.00,64.33,131.25,109.75,55.33,93.25,33.50,120.33,30.62,38.50,23.62,32.88,30.33,28.25,31.88,10.25,33.25,60.00,10.50,7.81,27.25,10.38,22.75,24.62,87.88,106.00,37.62,30.00,194.25,61.25,15.00,32.75,27.83,
37,129.75,178.75,100.00,50.00,106.50,21.75,15.75,124.25,25.50,28.00,108.75,57.00,68.00,136.00,109.75,59.10,93.25,48.50,124.67,30.62,38.50,29.12,34.00,30.33,40.88,35.50,11.12,45.38,60.00,12.88,8.56,30.25,13.12,22.75,25.88,97.62,116.25,41.88,30.00,200.88,61.25,15.00,32.75,27.83,
38,138.00,184.00,109.00,50.00,106.50,21.75,15.75,126.75,25.50,39.25,119.25,60.00,74.50,139.25,109.75,60.94,93.25,61.50,129.00,30.88,38.50,34.62,34.75,30.33,55.00,37.62,14.00,59.12,60.00,14.12,8.56,36.50,17.38,22.75,25.88,105.50,124.62,44.12,31.62,210.00,61.25,15.00,32.75,27.83,
39,146.25,192.00,115.50,50.00,106.50,21.75,15.75,126.75,25.50,46.50,127.75,60.50,79.67,142.25,109.75,68.60,96.75,74.50,139.00,31.88,39.50,37.88,34.75,30.83,68.38,41.00,19.75,74.25,60.00,16.75,8.56,37.25,21.25,22.75,25.88,115.00,135.88,46.75,35.75,219.12,62.38,15.00,32.75,27.83,
40,148.50,200.00,115.50,52.00,106.50,21.75,18.50,126.75,25.50,51.75,138.50,60.50,79.67,147.00,109.75,74.27,101.75,91.25,147.33,35.62,40.38,43.25,34.75,34.00,79.25,44.50,23.25,85.88,60.00,22.00,11.93,37.62,26.12,22.75,25.88,121.00,151.12,51.75,41.25,231.75,67.38,15.00,34.62,27.83,
41,148.50,206.75,115.50,52.00,106.50,21.75,24.75,126.75,35.75,57.25,148.75,60.50,79.67,156.50,109.75,80.94,106.00,105.25,155.50,36.62,45.88,50.88,34.75,39.17,90.00,45.00,24.38,95.62,60.00,26.38,19.06,37.62,29.62,22.75,26.25,125.88,164.38,60.62,49.50,245.88,70.62,17.12,36.88,27.83,
42,149.00,209.75,115.50,52.00,107.66,21.75,34.25,126.75,48.00,62.50,158.00,60.50,79.67,168.75,110.50,87.60,111.50,119.25,164.50,37.88,53.75,55.50,34.75,50.17,101.12,45.00,24.62,106.25,60.00,29.62,26.43,37.62,35.62,22.75,30.75,128.50,176.25,70.50,63.00,259.88,78.62,23.75,44.75,28.19,
43,153.00,210.75,115.50,53.00,107.99,21.75,41.00,126.75,57.25,73.75,170.25,63.00,79.67,182.25,111.75,96.94,119.25,129.50,173.83,38.88,63.75,58.50,37.62,60.17,108.75,45.50,25.25,113.00,62.25,32.50,32.56,37.62,43.75,22.75,40.12,132.12,184.38,81.50,74.75,271.62,87.38,30.62,52.38,28.79,
44,158.50,210.75,115.50,56.25,108.99,21.75,49.75,129.75,69.25,80.50,183.50,73.75,80.17,195.00,111.75,107.44,131.50,129.50,184.50,44.25,74.88,62.25,41.75,70.17,117.00,46.62,25.25,119.75,62.75,34.50,35.31,37.62,52.12,22.75,50.88,136.25,193.62,91.25,82.75,283.12,97.75,36.00,59.12,28.79,
45,160.00,210.75,115.50,64.25,108.99,23.50,57.50,129.75,84.75,87.00,193.50,84.75,88.33,206.00,111.75,121.44,140.00,129.50,198.00,49.50,83.38,67.25,42.62,77.67,128.25,47.62,25.91,129.00,63.12,36.88,40.31,37.62,63.75,22.75,61.75,141.00,202.00,100.38,87.62,292.12,109.88,45.38,66.38,28.79,
