# Cumulative DD25 averaged for Yukon River nr Emmonak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
49,146.75,196.75,77.25,71.00,121.75,14.00,65.75,109.75,79.25,76.75,160.00,88.50,78.25,186.50,80.75,111.75,135.50,111.75,171.00,66.67,94.67,73.62,60.00,76.67,154.12,40.75,23.51,126.38,60.50,35.38,77.18,32.38,89.25,15.88,98.75,130.38,225.00,81.33,98.12,266.50,156.38,75.12,98.12,33.29,82.13
50,146.75,205.75,77.25,75.75,121.75,14.00,65.75,109.75,85.25,79.00,172.25,99.25,78.25,197.50,85.00,112.50,150.00,114.50,178.17,76.83,101.83,80.62,65.83,85.67,164.00,42.12,25.38,136.62,73.25,37.75,91.93,34.25,96.62,16.25,113.50,138.88,241.50,87.00,101.00,268.75,170.62,86.75,104.12,33.96,88.37
51,154.75,211.25,77.25,78.00,121.75,14.00,65.75,110.50,88.25,81.25,183.75,111.50,78.25,210.00,91.25,115.75,166.25,117.75,184.17,86.17,107.83,91.88,67.67,95.57,174.88,47.25,29.26,147.88,86.50,41.50,101.56,35.12,103.25,16.88,128.00,144.38,259.00,96.17,104.12,274.38,181.25,94.62,111.00,36.79,95.34
52,159.00,213.75,77.25,86.50,121.75,14.00,65.75,110.50,94.75,87.75,189.25,122.00,81.50,222.50,92.50,126.00,183.50,122.00,194.67,93.00,110.33,102.00,69.33,106.23,187.50,59.88,34.76,164.88,100.62,47.50,109.06,40.62,113.25,18.62,144.25,149.50,276.25,106.33,111.50,282.12,190.00,106.62,122.25,40.29,103.95
53,162.25,214.75,80.25,96.75,121.75,14.00,65.75,110.50,104.25,95.75,191.25,129.75,84.50,229.50,94.75,137.00,200.75,128.75,207.83,98.00,114.83,108.50,69.50,119.06,199.88,68.38,40.38,182.38,111.62,55.12,114.31,50.00,126.25,21.75,160.00,158.25,293.62,118.50,120.88,287.50,199.38,121.50,134.62,40.46,112.67
54,168.00,217.25,85.00,104.00,121.75,14.00,65.75,110.50,115.25,99.50,192.50,139.00,89.50,236.75,97.75,148.75,210.00,143.00,221.33,100.67,117.33,113.88,71.50,132.06,209.62,79.25,48.01,197.88,117.00,64.25,118.68,64.12,138.25,27.00,174.75,171.00,312.62,133.33,132.75,291.50,210.75,135.75,145.00,40.46,121.61
55,173.50,224.25,90.00,111.25,123.00,14.00,65.75,111.00,124.25,100.00,196.00,148.50,97.75,244.00,100.50,159.00,216.25,159.00,233.33,104.50,119.83,119.75,75.00,144.73,218.75,94.75,52.51,212.12,120.50,73.50,126.31,76.38,150.00,27.62,189.62,185.12,332.50,149.17,144.88,297.62,218.75,151.75,157.25,42.13,130.52
56,188.00,227.50,90.25,120.50,128.25,14.00,65.75,114.75,135.75,100.00,203.00,159.75,102.50,252.50,107.50,166.50,222.50,173.25,242.50,107.83,122.50,128.00,84.00,160.23,230.12,112.12,55.88,225.12,127.48,86.62,136.43,87.38,162.75,29.25,205.62,197.50,351.12,165.83,154.62,304.75,225.25,169.00,168.25,48.29,139.79
57,199.75,231.50,90.25,128.50,141.25,14.00,65.75,122.50,153.00,100.50,210.75,170.00,105.75,265.00,118.75,172.00,225.50,189.50,245.33,110.00,130.00,134.00,94.83,175.90,241.88,131.38,58.76,234.12,132.73,101.75,147.31,98.50,173.75,29.88,223.12,211.88,369.12,178.50,162.50,312.88,231.62,180.88,181.38,52.29,149.07
58,211.25,241.75,90.25,137.75,149.00,14.00,68.50,135.50,166.50,108.50,214.75,183.50,111.25,276.50,130.75,180.50,227.00,204.75,247.67,118.67,137.17,139.88,107.00,189.40,251.75,149.50,62.13,244.12,139.48,118.50,159.31,111.88,184.38,29.88,235.75,225.88,387.00,189.67,171.00,325.00,238.00,188.38,193.75,59.13,158.97
