# Cumulative DD25 averaged for Yukon River at Marshall
# Sites: NOME_AP, BETHEL_AP, CHICKEN, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
38,129.50,147.00,85.17,40.33,114.33,16.17,12.50,111.17,18.00,32.17,107.00,41.17,54.67,110.00,87.17,61.83,76.33,49.33,110.88,24.50,39.50,28.38,40.75,26.38,51.88,34.12,13.75,54.12,44.12,13.88,2.88,34.38,12.62,26.25,16.00,76.50,106.00,32.12,32.50,166.00,51.75,13.25,33.12,26.25
39,135.00,153.67,89.50,40.33,114.33,16.17,12.50,111.17,18.00,37.00,115.00,41.50,58.17,112.00,87.17,67.50,78.67,62.17,119.38,25.50,40.50,30.38,40.75,26.75,64.25,35.75,20.12,66.88,44.12,15.12,2.88,35.12,15.38,26.25,16.00,83.62,116.88,34.62,36.50,173.88,52.88,13.25,33.38,26.25
40,136.50,161.33,89.50,41.67,114.33,16.17,14.33,111.17,18.00,40.50,123.33,41.50,58.17,115.17,87.17,70.83,82.83,78.17,127.12,29.62,41.62,33.38,40.75,29.12,74.38,38.12,21.62,77.88,44.12,18.75,5.50,35.50,19.25,26.25,16.00,86.62,129.50,38.38,42.50,182.88,57.12,13.25,36.50,26.25
41,136.50,167.50,89.50,41.67,114.33,16.17,19.00,111.17,24.83,46.00,130.33,41.50,58.17,121.50,87.17,73.83,85.67,92.33,134.38,30.00,48.25,36.50,40.75,33.00,84.50,38.25,22.00,87.75,44.12,20.12,10.88,35.50,21.12,26.25,16.38,89.38,141.50,45.00,48.88,193.88,58.75,15.38,40.00,26.25
42,136.83,169.50,89.50,41.67,114.33,16.17,27.67,111.17,35.67,51.50,137.17,41.50,58.17,132.50,87.67,76.17,89.33,104.67,142.62,30.38,57.12,39.12,41.00,43.50,94.25,38.25,22.25,95.50,44.12,21.25,15.88,35.50,25.25,26.25,21.12,89.88,154.62,54.38,60.25,205.62,64.62,20.88,47.50,26.52
43,139.50,170.17,89.50,42.33,114.33,16.17,34.17,111.17,45.33,61.33,146.00,43.17,58.17,145.17,88.50,82.00,94.50,111.50,151.25,31.00,67.88,40.75,44.50,52.62,102.25,38.50,22.88,99.75,46.38,22.25,19.75,35.50,30.88,26.25,29.88,91.38,162.88,62.62,70.88,213.25,70.50,26.88,55.75,26.97
44,143.17,170.17,89.50,44.83,114.33,16.17,41.00,113.17,55.83,65.83,154.83,53.00,58.67,157.67,88.50,89.83,105.50,111.50,161.75,33.38,78.62,43.00,47.62,61.62,110.12,39.38,22.88,103.75,46.38,23.25,21.62,35.50,36.25,26.25,39.00,93.62,172.75,70.25,78.25,221.12,79.12,30.88,64.38,26.97
45,144.17,170.17,89.50,52.33,114.33,17.33,47.33,113.17,69.17,71.50,161.50,62.17,64.83,169.17,88.50,102.17,112.00,111.50,173.75,35.62,87.62,46.75,47.88,69.12,120.88,39.88,23.54,109.00,46.75,23.62,24.50,35.50,44.00,26.25,49.25,95.25,180.50,80.38,84.50,226.75,89.88,36.62,73.12,26.97
46,146.00,171.00,89.50,54.83,114.33,19.00,52.67,113.17,83.33,77.83,169.50,70.67,76.67,179.83,88.50,114.50,112.33,111.50,186.75,40.25,93.38,53.00,48.62,73.62,129.12,39.88,24.38,113.25,46.75,26.00,29.25,36.62,52.62,26.25,61.38,97.38,188.12,87.38,90.38,228.75,103.62,41.38,80.12,27.22
47,147.83,173.50,89.50,57.83,114.33,19.00,56.33,113.17,94.83,85.00,178.00,77.83,85.50,188.67,88.83,126.00,114.17,112.50,198.50,50.12,97.50,59.12,51.75,78.25,137.38,41.25,25.51,117.50,49.00,28.12,37.12,37.50,59.50,26.25,71.25,102.12,199.25,94.25,98.62,230.62,116.88,48.50,85.25,29.34
48,150.33,182.67,89.50,64.50,114.33,19.00,62.17,113.17,101.83,91.00,186.83,86.83,93.33,200.67,95.00,136.67,114.17,116.67,208.50,65.12,98.50,63.75,53.25,83.75,147.88,41.38,25.76,124.00,54.62,29.12,50.62,38.88,68.50,26.38,84.50,112.75,212.50,98.75,109.25,234.12,131.00,60.38,91.88,30.09
49,153.00,193.83,89.50,70.17,114.33,19.00,65.50,115.00,110.00,96.17,195.83,98.50,99.83,211.50,103.00,145.33,122.50,120.00,214.62,80.25,100.88,67.75,56.00,89.62,157.38,42.12,26.51,130.62,61.50,30.25,63.88,40.50,76.88,27.25,97.75,122.75,227.12,104.00,117.25,237.00,144.50,73.62,97.50,30.34
50,156.83,203.00,89.50,76.83,114.33,19.00,66.83,117.00,117.83,101.83,208.67,110.50,104.33,224.17,110.83,150.00,136.17,122.33,224.12,92.38,109.75,74.88,62.12,99.00,167.25,43.50,26.88,139.88,73.25,32.38,78.62,41.88,83.75,27.38,112.25,128.88,243.38,110.50,121.38,237.25,157.38,86.38,103.38,31.09
51,165.50,211.17,89.50,81.17,115.00,19.00,68.50,120.17,121.83,106.33,221.83,123.17,107.33,237.33,120.83,157.33,152.33,127.50,231.88,102.88,117.75,85.50,64.00,110.30,178.75,48.88,30.38,150.88,87.00,35.88,87.25,43.50,89.75,28.12,127.25,133.88,260.75,120.12,125.75,241.00,166.62,95.38,109.88,34.84
