# Cumulative DD25 averaged for Koyukuk River at Allakaket
# Sites: BETTLES_AP, CHICKEN, NENANA_MUN_AP, KENAI_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
46,188.00,224.75,103.25,243.50,160.99,42.75,68.00,174.25,177.50,147.75,184.00,114.50,110.83,205.50,184.75,154.94,125.50,138.00,234.33,78.75,88.75,116.00,16.12,101.50,132.50,101.12,60.25,111.50,95.00,62.12,114.56,86.12,94.38,21.12,81.88,166.62,233.25,95.12,85.00,288.38,102.88,48.38,85.50,37.33,
47,194.50,231.75,104.25,251.75,162.49,47.00,72.00,175.75,192.00,156.75,194.25,126.25,119.67,222.50,184.75,167.77,135.00,140.00,249.83,92.62,92.50,123.50,20.75,111.33,140.25,104.75,62.88,121.75,96.62,68.00,125.93,89.88,108.38,21.12,94.62,176.50,242.75,99.25,90.00,294.88,116.50,57.88,89.88,42.33,
48,203.00,239.25,104.25,264.00,164.49,49.25,76.25,179.25,206.25,168.75,202.00,136.75,128.17,237.25,188.75,181.60,149.50,142.75,266.83,109.75,95.12,128.75,27.62,121.67,148.00,106.38,65.00,136.62,100.12,73.75,142.43,95.25,123.62,21.25,107.88,190.12,254.50,102.62,96.50,301.62,131.50,73.62,94.00,44.17,
49,210.50,246.25,106.00,273.50,165.33,49.25,81.00,185.50,216.75,176.50,210.15,144.75,141.17,251.00,194.75,195.60,159.40,146.50,280.00,125.87,100.62,131.75,32.62,129.17,156.25,110.25,69.00,150.50,106.25,79.25,159.56,100.38,138.38,22.62,119.88,206.38,267.50,107.25,102.25,308.38,147.38,91.00,98.75,45.83,
50,220.00,256.00,110.75,286.00,172.33,51.00,85.00,191.25,228.50,185.00,219.65,156.75,155.17,266.50,206.75,211.77,171.40,149.00,294.67,143.74,113.12,137.12,40.38,136.67,166.38,115.62,72.38,165.38,117.38,84.88,175.06,105.00,151.00,23.62,133.50,219.75,283.25,113.12,105.50,312.62,163.00,103.38,103.25,49.83,
51,229.75,265.50,116.75,298.25,178.16,55.00,87.75,197.75,241.50,194.00,229.65,168.25,165.50,278.75,218.50,225.60,184.90,153.50,304.50,155.37,124.38,148.38,45.00,145.90,176.88,124.25,79.62,181.00,129.50,90.50,188.31,109.38,162.88,25.00,146.75,228.00,298.88,118.75,109.25,320.75,175.38,112.25,108.50,55.00,
52,241.25,275.75,121.50,314.25,182.33,58.00,89.25,206.50,253.50,202.00,240.90,183.25,173.67,292.75,234.00,245.60,201.65,157.75,314.83,165.49,134.38,160.38,47.12,158.06,190.25,139.88,86.75,199.12,144.38,94.88,200.68,118.38,177.50,28.75,160.88,235.12,315.62,127.12,114.88,332.38,186.50,124.75,119.12,61.33,
53,250.25,287.50,125.50,332.75,183.83,61.00,92.50,216.00,268.50,213.50,253.90,192.75,182.33,306.50,252.00,261.60,210.23,170.25,327.17,177.99,145.88,169.25,51.67,173.40,202.62,153.75,95.62,217.88,158.38,104.62,211.06,130.62,191.00,33.38,172.88,244.50,333.12,138.25,124.62,340.12,197.62,137.71,131.00,63.50,
54,261.75,301.50,132.25,349.00,186.66,67.00,95.25,221.50,284.00,226.75,268.40,208.50,189.67,317.25,271.75,278.27,217.48,188.00,340.00,184.37,153.62,177.25,53.79,188.06,215.12,168.25,108.75,236.62,167.50,114.62,218.68,144.00,204.88,39.50,185.62,257.12,351.25,151.38,138.00,346.00,207.75,153.30,144.62,64.67,
55,274.25,313.00,138.00,365.50,190.16,71.00,99.50,227.00,297.25,241.00,278.65,228.00,201.02,325.25,290.25,294.60,225.98,209.50,352.50,189.12,162.38,184.50,56.67,207.23,230.62,185.88,117.62,254.25,173.62,124.00,229.81,155.88,219.75,41.88,199.62,271.88,371.00,164.75,152.50,354.88,214.62,171.18,160.50,67.83,
