# Cumulative DD25 averaged for Kuskokwim River at Tuluksak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40,136.50,161.33,89.50,41.67,114.33,16.17,14.33,111.17,18.00,40.50,123.33,41.50,58.17,115.17,87.17,70.83,82.83,78.17,154.67,37.67,51.00,45.12,54.33,38.83,89.38,43.50,19.62,92.38,57.50,22.62,11.18,40.00,23.50,27.25,25.25,119.00,130.00,46.83,45.25,222.50,79.12,16.00,39.00,34.67,89.39
41,136.50,167.50,89.50,41.67,114.33,16.17,19.00,111.17,24.83,46.00,130.33,41.50,58.17,121.50,87.17,73.83,85.67,92.33,162.17,38.17,59.83,51.62,54.33,44.00,101.62,44.00,20.50,101.88,57.50,27.00,19.56,40.00,26.00,27.25,25.62,122.50,142.38,54.50,53.12,235.25,82.62,18.12,42.50,34.67,90.67
42,136.83,169.50,89.50,41.67,114.33,16.17,27.67,111.17,35.67,51.50,137.17,41.50,58.17,132.50,87.67,76.17,89.33,104.67,169.50,38.33,71.67,53.62,54.67,56.83,115.00,44.00,20.75,110.62,57.50,30.25,27.18,40.00,29.88,27.25,30.38,125.12,154.62,65.17,63.25,247.75,91.88,26.00,52.88,35.03,92.66
43,139.50,170.17,89.50,42.33,114.33,16.17,34.17,111.17,45.33,61.33,146.00,43.17,58.17,145.17,88.50,82.00,94.50,111.50,180.33,39.17,86.00,55.00,59.33,66.50,123.88,44.50,21.38,116.12,59.75,32.38,31.93,40.00,34.25,27.25,41.50,128.62,163.88,75.17,73.38,256.12,99.25,34.75,63.25,35.63,95.49
44,143.17,170.17,89.50,44.83,114.33,16.17,41.00,113.17,55.83,65.83,154.83,53.00,58.67,157.67,88.50,89.83,105.50,111.50,191.17,42.33,99.50,56.88,63.50,75.00,133.88,45.62,21.38,122.88,60.25,34.38,33.31,40.00,39.88,27.25,53.00,132.75,174.38,85.33,79.62,265.50,110.00,39.75,73.00,35.63,99.50
45,144.17,170.17,89.50,52.33,114.33,17.33,47.33,113.17,69.17,71.50,161.50,62.17,64.83,169.17,88.50,102.17,112.00,111.50,201.83,44.50,109.83,59.50,63.83,84.33,147.00,46.62,22.04,131.38,60.25,36.75,36.68,40.00,49.62,27.25,62.88,137.50,181.88,97.67,85.88,273.62,122.62,47.12,82.62,35.63,102.78
46,146.00,171.00,89.50,54.83,114.33,19.00,52.67,113.17,83.33,77.83,169.50,70.67,76.67,179.83,88.50,114.50,112.33,111.50,214.17,49.17,117.50,67.75,64.83,87.83,157.38,47.50,22.88,136.75,60.25,38.75,43.68,41.88,60.75,27.25,75.75,142.00,187.88,107.00,94.38,276.88,136.50,52.88,89.88,35.63,106.51
47,147.83,173.50,89.50,57.83,114.33,19.00,56.33,113.17,94.83,85.00,178.00,77.83,85.50,188.67,88.83,126.00,114.17,112.50,225.17,60.33,123.00,75.75,69.00,90.83,167.88,47.50,24.01,143.62,62.50,40.12,54.81,43.38,69.00,27.25,86.62,149.00,199.38,116.17,104.38,278.00,151.62,60.88,96.25,35.63,111.32
48,150.33,182.67,89.50,64.50,114.33,19.00,62.17,113.17,101.83,91.00,186.83,86.83,93.33,200.67,95.00,136.67,114.17,116.67,233.00,75.67,124.33,78.88,69.17,96.67,179.50,47.50,24.26,153.00,69.88,42.62,70.81,46.88,78.38,27.38,100.50,163.12,213.50,122.17,118.00,279.50,167.75,75.00,105.00,35.63,117.22
49,153.00,193.83,89.50,70.17,114.33,19.00,65.50,115.00,110.00,96.17,195.83,98.50,99.83,211.50,103.00,145.33,122.50,120.00,238.33,89.67,127.50,82.88,70.50,101.83,190.50,47.50,25.38,161.62,79.50,45.12,85.81,50.50,87.62,28.25,115.12,177.12,230.62,129.17,127.12,281.62,182.00,89.62,112.75,35.96,123.44
