# HAINES_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1987, 1991, 1993, 1994, 1995, 1997, 1998
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1988,1989,1990,1992,1996,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
59,814.00,816.50,625.50,830.50,959.00,693.50,596.50,936.50,881.50,912.28,850.09,796.20,644.50,753.50,744.00,461.50,764.50,772.00,989.00,635.00,508.50,679.00,519.50,823.50,616.00,726.50,479.50,682.74,867.30,1037.50,702.50,687.00,918.50,671.00,641.00,802.07,675.50,
60,830.00,840.00,641.00,851.00,979.00,710.50,622.50,958.00,919.50,930.28,869.59,816.70,663.00,772.50,764.50,481.00,792.00,801.00,1013.00,648.00,526.00,697.00,545.50,845.00,634.00,745.00,486.50,705.74,887.80,1057.00,722.00,707.00,946.50,692.50,661.50,822.57,699.50,
61,846.00,864.50,662.00,882.00,1005.50,725.00,648.00,978.50,956.50,946.28,888.09,837.70,678.50,792.50,782.00,501.00,816.00,825.50,1037.50,662.00,545.50,715.00,575.00,866.50,655.00,765.00,500.00,734.24,907.80,1077.50,743.00,728.50,969.50,716.00,681.50,842.57,722.50,
62,865.00,890.00,682.00,911.00,1021.50,744.00,672.00,1003.00,982.00,967.28,905.59,864.20,693.50,815.00,796.00,515.00,837.00,851.50,1063.50,676.50,568.50,736.00,606.00,883.50,675.50,784.50,521.00,765.24,927.80,1098.00,765.50,749.00,993.00,743.00,702.50,862.57,744.50,
63,886.50,914.50,700.00,930.50,1042.00,760.50,694.00,1025.50,1007.00,986.28,926.30,891.20,709.00,838.50,813.00,527.50,855.50,880.50,1087.00,693.00,590.50,753.50,631.00,903.00,695.50,804.00,540.00,793.24,950.30,1119.00,785.00,769.00,1017.00,768.00,723.00,880.57,761.50,
64,912.00,936.50,719.50,953.50,1062.50,785.00,718.00,1050.00,1028.50,1005.28,946.83,915.70,724.50,859.50,831.50,540.00,871.50,909.50,1110.00,712.00,611.00,769.00,654.00,927.50,712.00,822.00,562.00,816.74,974.30,1140.50,807.50,790.50,1038.50,793.00,745.00,901.57,779.50,
65,940.00,959.50,738.00,973.50,1080.50,802.50,740.00,1077.50,1050.50,1023.78,965.33,939.20,744.50,881.00,847.50,554.00,889.50,933.50,1136.00,729.50,630.50,789.00,685.00,951.00,730.50,841.50,583.50,842.24,997.30,1161.00,833.50,812.50,1060.00,816.50,769.00,921.07,800.50,
66,965.00,987.50,755.50,995.00,1100.50,818.50,763.00,1101.50,1076.50,1052.28,984.83,960.20,765.50,904.50,868.00,569.50,909.00,958.00,1166.00,747.50,649.00,805.00,704.50,975.50,752.00,859.00,604.50,863.24,1020.30,1183.50,853.50,838.00,1083.00,844.00,792.00,939.07,826.00,
67,989.00,1021.00,773.50,1019.50,1127.00,837.00,784.50,1131.00,1099.50,1075.78,1003.33,979.70,785.50,927.50,885.50,587.50,930.00,983.00,1198.50,766.50,669.50,820.50,729.50,997.00,773.50,877.50,627.00,885.74,1042.30,1206.00,874.50,863.50,1108.50,872.50,813.00,961.07,849.00,
68,1012.00,1059.00,791.50,1044.50,1159.50,857.50,805.50,1159.00,1123.50,1096.28,1023.33,998.70,803.50,950.50,903.50,605.00,957.50,1008.00,1233.00,784.50,689.00,839.00,752.50,1019.00,794.00,895.00,652.00,911.74,1070.30,1230.50,895.50,892.50,1135.50,902.50,836.50,990.07,872.50,
69,1035.50,1089.00,809.50,1074.00,1185.50,876.00,826.00,1185.00,1144.50,1120.28,1044.83,1018.20,821.50,978.00,921.50,624.50,983.00,1028.50,1266.50,801.00,707.50,861.50,771.50,1040.50,813.50,912.50,679.00,946.24,1097.80,1253.00,917.00,928.50,1163.50,937.50,860.00,1014.07,895.50,
70,1061.50,1112.00,827.00,1100.00,1210.50,893.00,845.00,1212.50,1166.00,1141.78,1063.33,1042.70,841.00,1005.50,942.00,644.00,1009.00,1053.50,1300.00,818.00,728.50,888.00,795.50,1062.00,832.50,930.50,707.00,979.74,1124.30,1279.50,942.50,961.00,1190.50,974.00,884.00,1034.57,922.50,
71,1087.50,1137.00,844.00,1122.50,1237.00,909.00,866.00,1237.00,1189.50,1163.28,1091.33,1069.70,862.50,1036.00,961.00,665.00,1033.00,1079.00,1331.00,837.50,748.00,913.50,820.50,1086.50,855.50,947.50,727.00,1008.24,1151.30,1313.00,975.50,986.00,1215.50,1007.50,909.00,1057.57,952.00,
72,1114.00,1163.00,864.50,1151.50,1260.50,924.00,885.00,1261.50,1214.00,1189.28,1114.83,1104.20,884.00,1063.50,984.50,684.50,1056.00,1104.50,1360.00,856.50,769.00,932.50,843.50,1109.50,876.00,964.50,749.50,1041.74,1182.80,1347.50,1002.00,1013.00,1238.50,1041.00,932.50,1081.57,977.50,
73,1143.00,1190.50,882.00,1182.00,1286.00,937.50,905.50,1287.50,1234.50,1214.78,1135.33,1138.70,910.50,1089.50,1006.00,705.50,1077.50,1134.50,1389.00,875.50,789.50,953.50,868.50,1130.50,895.50,984.50,773.00,1074.74,1219.80,1385.00,1027.50,1036.50,1269.50,1071.00,953.50,1106.92,1006.00,
74,1171.00,1223.00,901.00,1211.00,1315.00,957.00,928.00,1310.50,1257.50,1236.78,1161.83,1169.20,942.00,1111.50,1032.00,727.50,1097.50,1162.00,1417.50,896.00,812.00,969.00,891.00,1153.00,917.00,1001.50,796.00,1101.24,1248.80,1421.00,1047.50,1060.00,1303.00,1099.00,975.00,1126.92,1035.50,
75,1199.00,1256.00,918.50,1240.50,1347.50,970.00,949.50,1334.50,1280.50,1263.78,1189.33,1191.70,968.50,1134.00,1057.00,749.50,1118.50,1188.00,1447.50,918.00,837.00,991.00,913.00,1177.00,941.00,1019.00,820.00,1134.74,1278.30,1454.50,1075.50,1081.00,1330.00,1128.00,999.50,1150.42,1067.00,
76,1225.50,1287.50,940.50,1265.50,1377.50,986.50,969.00,1356.50,1300.00,1291.78,1211.33,1216.20,993.00,1157.00,1081.00,775.00,1138.00,1213.00,1477.00,942.00,859.50,1007.50,938.50,1198.00,965.50,1036.00,843.00,1170.74,1307.30,1483.00,1106.00,1104.50,1362.00,1158.50,1022.00,1170.42,1104.00,
77,1249.50,1314.50,965.00,1289.50,1405.50,1006.00,988.00,1379.00,1325.00,1313.78,1230.83,1244.70,1015.00,1179.50,1103.00,804.00,1157.50,1241.00,1507.00,963.50,879.00,1028.00,960.00,1221.50,994.00,1057.00,868.50,1207.74,1341.30,1507.00,1134.50,1134.00,1391.50,1189.00,1046.50,1192.42,1137.00,
78,1272.00,1343.50,986.50,1313.50,1430.00,1033.50,1009.00,1400.50,1346.50,1340.78,1252.83,1270.74,1038.50,1203.50,1125.50,835.50,1180.00,1267.50,1539.50,988.00,900.50,1048.00,983.50,1252.50,1017.50,1079.50,888.50,1236.74,1376.30,1533.50,1159.00,1166.00,1422.00,1219.00,1075.00,1219.92,1175.50,
79,1295.50,1372.50,1007.50,1338.50,1455.50,1056.00,1031.50,1422.00,1369.50,1370.28,1275.83,1298.24,1060.50,1225.00,1145.00,870.00,1203.50,1294.00,1568.50,1016.00,927.50,1074.50,1012.00,1280.50,1044.00,1103.50,905.50,1261.24,1409.30,1564.50,1185.00,1197.00,1456.50,1246.50,1100.00,1253.42,1205.00,
80,1318.00,1400.00,1027.50,1362.50,1487.50,1077.00,1054.50,1443.00,1401.00,1401.28,1302.33,1324.24,1083.00,1244.50,1168.00,907.00,1227.50,1327.50,1600.50,1039.50,951.50,1103.00,1036.50,1310.50,1071.50,1128.50,923.00,1286.24,1443.80,1592.50,1209.50,1222.50,1495.00,1274.00,1127.50,1285.42,1234.50,
81,1342.00,1425.00,1047.00,1387.00,1512.50,1096.50,1076.00,1467.00,1435.00,1432.28,1328.80,1354.74,1105.00,1262.00,1191.50,941.00,1256.50,1360.00,1627.00,1064.00,975.00,1127.50,1061.00,1335.50,1095.00,1153.00,946.00,1312.74,1478.80,1622.00,1235.00,1247.00,1531.50,1300.50,1152.50,1314.92,1261.50,
82,1365.00,1450.00,1064.50,1410.00,1534.00,1122.50,1098.50,1491.50,1467.00,1457.78,1355.80,1386.74,1126.00,1283.50,1213.50,969.00,1284.00,1389.00,1659.00,1097.50,1000.50,1153.50,1085.50,1360.50,1118.00,1179.50,971.50,1337.74,1517.80,1652.50,1258.50,1271.50,1563.50,1328.50,1175.50,1342.92,1287.00,
