,hucmask,t2m,year,month,objid,huc6
436,1,281.866,2015,5,1,190201
437,1,285.12643,2015,6,1,190201
438,1,286.1203,2015,7,1,190201
439,1,283.57822,2015,8,1,190201
440,1,277.521,2015,9,1,190201
441,1,273.2155,2015,10,1,190201
442,1,262.2852,2015,11,1,190201
443,1,257.18835,2015,12,1,190201
444,1,261.97864,2016,1,1,190201
445,1,262.36853,2016,2,1,190201
446,1,267.4107,2016,3,1,190201
447,1,275.62943,2016,4,1,190201
448,1,281.07355,2016,5,1,190201
449,1,285.12125,2016,6,1,190201
450,1,287.145,2016,7,1,190201
451,1,284.97305,2016,8,1,190201
452,1,279.4117,2016,9,1,190201
453,1,269.2889,2016,10,1,190201
454,1,262.45673,2016,11,1,190201
455,1,255.37642,2016,12,1,190201
456,1,255.45668,2017,1,1,190201
457,1,258.6243,2017,2,1,190201
458,1,257.27786,2017,3,1,190201
459,1,273.96762,2017,4,1,190201
460,1,278.7667,2017,5,1,190201
461,1,284.58072,2017,6,1,190201
462,1,286.4717,2017,7,1,190201
463,1,284.0652,2017,8,1,190201
464,1,279.3669,2017,9,1,190201
465,1,271.86426,2017,10,1,190201
466,1,258.77313,2017,11,1,190201
467,1,261.79373,2017,12,1,190201
468,1,256.87732,2018,1,1,190201
469,1,256.42593,2018,2,1,190201
470,1,263.69824,2018,3,1,190201
471,1,271.96365,2018,4,1,190201
472,1,277.936,2018,5,1,190201
473,1,283.35995,2018,6,1,190201
474,1,286.86392,2018,7,1,190201
475,1,283.67755,2018,8,1,190201
476,1,279.6909,2018,9,1,190201
477,1,274.18723,2018,10,1,190201
478,1,264.46475,2018,11,1,190201
479,1,260.23706,2018,12,1,190201
480,1,256.1928,2019,1,1,190201
481,1,258.0277,2019,2,1,190201
482,1,269.8138,2019,3,1,190201
483,1,273.67392,2019,4,1,190201
484,1,280.71323,2019,5,1,190201
485,1,286.2058,2019,6,1,190201
486,1,288.84625,2019,7,1,190201
487,1,284.973,2019,8,1,190201
488,1,280.59506,2019,9,1,190201
489,1,272.23248,2019,10,1,190201
490,1,266.94617,2019,11,1,190201
491,1,259.27805,2019,12,1,190201
492,1,249.45892,2020,1,1,190201
493,1,257.4617,2020,2,1,190201
494,1,260.89148,2020,3,1,190201
495,1,271.33054,2020,4,1,190201
496,1,280.94415,2020,5,1,190201
497,1,283.19464,2020,6,1,190201
498,1,286.4037,2020,7,1,190201
499,1,284.33514,2020,8,1,190201
500,1,278.93283,2020,9,1,190201
501,1,270.13995,2020,10,1,190201
502,1,257.7829,2020,11,1,190201
503,1,259.4905,2020,12,1,190201
504,1,259.04395,2021,1,1,190201
505,1,254.2707,2021,2,1,190201
506,1,259.3851,2021,3,1,190201
507,1,270.34973,2021,4,1,190201
508,1,278.92786,2021,5,1,190201
509,1,284.75662,2021,6,1,190201
510,1,286.49506,2021,7,1,190201
511,1,284.1702,2021,8,1,190201
512,1,277.48724,2021,9,1,190201
513,1,270.71912,2021,10,1,190201
514,1,257.2238,2021,11,1,190201
515,1,256.3576,2021,12,1,190201
516,1,256.4119,2022,1,1,190201
517,1,262.79044,2022,2,1,190201
518,1,265.5553,2022,3,1,190201
519,1,270.93356,2022,4,1,190201
520,1,278.47226,2022,5,1,190201
521,1,286.20428,2022,6,1,190201
522,1,286.43747,2022,7,1,190201
523,1,283.7848,2022,8,1,190201
524,1,278.67798,2022,9,1,190201
525,1,269.42252,2022,10,1,190201
526,1,261.08124,2022,11,1,190201
527,1,254.43002,2022,12,1,190201
528,1,260.46747,2023,1,1,190201
529,1,259.7023,2023,2,1,190201
530,1,262.34848,2023,3,1,190201
531,1,268.93518,2023,4,1,190201
532,1,278.1591,2023,5,1,190201
533,1,283.67606,2023,6,1,190201
534,1,288.31747,2023,7,1,190201
535,1,286.1578,2023,8,1,190201
536,1,277.9428,2023,9,1,190201
537,1,270.30408,2023,10,1,190201
538,1,265.23694,2023,11,1,190201
539,1,257.3899,2023,12,1,190201
540,1,253.71071,2024,1,1,190201
541,1,258.9328,2024,2,1,190201
542,1,264.45355,2024,3,1,190201
543,2,248.43327,1979,1,2,190705
544,2,238.12688,1979,2,2,190705
545,2,259.27145,1979,3,2,190705
546,2,268.91714,1979,4,2,190705
547,2,279.638,1979,5,2,190705
548,2,284.31042,1979,6,2,190705
549,2,287.19904,1979,7,2,190705
550,2,285.99954,1979,8,2,190705
551,2,278.39212,1979,9,2,190705
552,2,271.62564,1979,10,2,190705
553,2,263.67148,1979,11,2,190705
554,2,247.6807,1979,12,2,190705
555,2,245.56819,1980,1,2,190705
556,2,257.51636,1980,2,2,190705
557,2,261.6991,1980,3,2,190705
558,2,271.5334,1980,4,2,190705
559,2,280.71954,1980,5,2,190705
560,2,285.49896,1980,6,2,190705
561,2,286.37808,1980,7,2,190705
562,2,283.23175,1980,8,2,190705
563,2,274.76233,1980,9,2,190705
564,2,270.74112,1980,10,2,190705
565,2,259.48917,1980,11,2,190705
566,2,239.54033,1980,12,2,190705
567,2,262.35745,1981,1,2,190705
568,2,255.23169,1981,2,2,190705
569,2,265.31085,1981,3,2,190705
570,2,267.45413,1981,4,2,190705
571,2,282.08716,1981,5,2,190705
572,2,283.25006,1981,6,2,190705
573,2,284.98853,1981,7,2,190705
574,2,283.22604,1981,8,2,190705
575,2,276.26773,1981,9,2,190705
576,2,267.62436,1981,10,2,190705
577,2,257.97046,1981,11,2,190705
578,2,251.82843,1981,12,2,190705
579,2,238.59526,1982,1,2,190705
580,2,249.36903,1982,2,2,190705
581,2,257.94006,1982,3,2,190705
582,2,267.92038,1982,4,2,190705
583,2,276.96542,1982,5,2,190705
584,2,285.18927,1982,6,2,190705
585,2,287.64374,1982,7,2,190705
586,2,283.48322,1982,8,2,190705
