,hucmask,sd,year,month,objid,huc6
536,1,0.0007031198,2023,9,1,190201
537,1,0.004826153,2023,10,1,190201
538,1,0.034752753,2023,11,1,190201
539,1,0.10516779,2023,12,1,190201
540,1,0.13635103,2024,1,1,190201
541,1,0.1537857,2024,2,1,190201
542,1,0.17754567,2024,3,1,190201
543,2,0.11737981,1979,1,2,190705
544,2,0.12223234,1979,2,2,190705
545,2,0.16085503,1979,3,2,190705
546,2,0.06992756,1979,4,2,190705
547,2,3.0517578e-05,1979,5,2,190705
548,2,0.0,1979,6,2,190705
549,2,0.0,1979,7,2,190705
550,2,0.0005254865,1979,8,2,190705
551,2,0.0005264312,1979,9,2,190705
552,2,0.0069964854,1979,10,2,190705
553,2,0.033019625,1979,11,2,190705
554,2,0.056833953,1979,12,2,190705
555,2,0.076177284,1980,1,2,190705
556,2,0.08254524,1980,2,2,190705
557,2,0.080730334,1980,3,2,190705
558,2,0.039003246,1980,4,2,190705
559,2,1.5258789e-05,1980,5,2,190705
560,2,0.0,1980,6,2,190705
561,2,0.0,1980,7,2,190705
562,2,0.0,1980,8,2,190705
563,2,0.0056021125,1980,9,2,190705
564,2,0.016783554,1980,10,2,190705
565,2,0.03744966,1980,11,2,190705
566,2,0.04712703,1980,12,2,190705
567,2,0.052082557,1981,1,2,190705
568,2,0.08167167,1981,2,2,190705
569,2,0.078604504,1981,3,2,190705
570,2,0.032762118,1981,4,2,190705
571,2,0.0,1981,5,2,190705
572,2,2.4795532e-05,1981,6,2,190705
573,2,0.0,1981,7,2,190705
574,2,4.1007996e-05,1981,8,2,190705
575,2,0.020349478,1981,9,2,190705
576,2,0.051805984,1981,10,2,190705
577,2,0.07500422,1981,11,2,190705
578,2,0.08226104,1981,12,2,190705
579,2,0.08722804,1982,1,2,190705
580,2,0.1080143,1982,2,2,190705
581,2,0.11256926,1982,3,2,190705
582,2,0.09858395,1982,4,2,190705
583,2,0.0020256937,1982,5,2,190705
584,2,0.0,1982,6,2,190705
585,2,1.9073486e-06,1982,7,2,190705
586,2,0.0,1982,8,2,190705
587,2,0.0034095168,1982,9,2,190705
