# DUTCH_HARBOR
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1982, 1983, 1984, 1986, 1987, 1988, 1989, 1990, 2001, 2008, 2009, 2018, 2019, 2021
#
d_since_march1,1985,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2002,2003,2004,2005,2006,2007,2010,2011,2012,2013,2014,2015,2016,2017,2020,2022,2023,2024
62,440.93,723.45,566.14,689.31,481.56,579.51,818.50,643.96,806.50,638.44,642.26,795.02,770.72,664.61,736.17,743.12,552.79,438.56,635.00,466.50,631.00,762.50,771.00,825.50,672.50,881.44,688.07,758.21,
63,455.43,738.45,574.14,704.31,487.06,590.51,839.50,658.96,822.50,652.94,656.26,816.52,791.22,682.61,754.17,754.62,562.29,455.06,648.50,486.00,636.50,779.50,786.50,844.00,690.50,895.94,699.57,770.71,
64,473.93,750.95,580.14,719.31,498.56,605.01,858.50,676.46,838.50,667.44,669.26,840.02,811.22,704.11,772.67,767.12,570.79,473.56,664.00,497.50,641.00,794.00,804.50,862.00,707.00,910.44,712.07,782.71,
65,489.93,764.45,590.14,732.31,510.06,618.01,875.50,692.96,853.50,685.94,682.76,860.52,830.72,727.11,786.67,781.12,579.79,490.56,679.50,505.50,649.50,807.00,823.00,881.00,723.50,923.44,723.07,793.71,
66,505.93,777.45,601.14,746.31,520.56,629.51,897.50,709.96,866.50,699.94,694.26,884.02,850.72,752.61,799.17,792.12,596.29,505.06,697.00,513.50,662.50,819.50,841.00,895.50,740.00,938.94,735.07,806.21,
67,519.93,790.95,612.14,758.31,531.06,644.51,916.50,726.96,881.50,712.94,706.76,907.52,870.22,773.61,814.41,803.12,613.29,518.06,714.50,523.50,677.50,835.00,860.00,914.50,757.50,954.44,748.07,824.21,
68,532.43,806.45,623.64,771.31,544.06,660.01,940.50,743.96,897.50,725.94,717.26,929.52,887.72,793.61,831.41,816.62,629.79,535.06,732.50,535.00,691.50,851.00,878.00,936.50,775.00,972.44,762.57,840.21,
69,547.93,821.95,634.14,784.81,557.06,673.51,963.00,762.46,911.50,739.44,730.26,945.22,905.72,813.11,846.91,827.12,647.79,552.06,747.50,547.50,704.50,868.00,896.00,959.50,793.00,991.44,777.57,853.71,
70,561.43,834.45,645.64,798.81,568.06,686.51,982.50,778.96,925.50,752.94,742.26,961.22,923.72,834.11,864.91,838.62,668.79,573.56,761.00,557.00,717.50,887.50,917.00,979.50,813.50,1008.94,791.07,867.21,
71,573.43,850.45,661.64,818.31,579.56,701.51,1007.00,793.96,945.00,770.44,753.76,977.22,943.22,853.61,883.41,849.62,688.29,585.06,771.00,566.00,729.50,905.50,936.00,1000.50,831.00,1026.44,805.07,881.71,
72,584.93,865.95,680.64,837.31,591.56,719.01,1024.00,808.96,962.00,788.44,764.76,995.72,959.72,873.61,902.41,862.12,704.79,597.06,790.50,574.00,741.50,920.50,957.00,1021.50,851.50,1043.94,820.07,897.21,
73,593.93,880.95,699.14,855.31,603.06,735.01,1040.00,828.46,977.00,809.94,778.76,1016.22,973.22,890.28,922.41,879.12,716.79,610.56,810.00,584.00,754.00,937.00,979.50,1041.50,870.50,1062.44,835.07,916.71,
74,603.93,895.45,719.14,872.81,617.06,754.51,1056.00,852.46,993.50,825.94,794.76,1035.22,986.22,908.78,941.91,897.12,726.29,623.06,829.50,598.50,767.00,955.00,1000.00,1061.50,888.50,1082.44,850.07,932.21,
