"ID","ALT_ID","STATION NAME","STATE","LATITUDE","LONGITUDE","ELEV(FT)","DOMAINS"
"CBKA2","","CAMPBELL CREEK","AK","61.1584","-149.7967","157","ak"
"CDEA2","","CAPE DECISION","AK","56.0019","-134.1333","53","ak oc"
"CDVA2","502173","CORDOVA NORTH","AK","60.55","-145.7666","25","ak"
"CFSA2","502227 PCGA","CRAIG","AK","55.4833","-133.15","13","ak"
"CGMA2","","CHIGMIT MTNS","AK","60.2247","-153.4675","4658","ak"
"CHCA2","","CHIEF COVE","AK","57.7298","-153.933","69","ak oc"
"CHMA2","","CHIMNEY LAKE","AK","67.7142","-150.585","3692","ak"
"CHTA2","","CHATANIKA","AK","65.0193","-148.5833","1626","ak"
"CIKA2","","CHALKYITSIK","AK","66.5951","-144.3471","450","ak"
"CKLA2","","CAPE KIAVAK","AK","56.9992","-153.5416","100","ak"
"CKNA2","","CHICKEN","AK","64.0636","-141.9261","2060","ak"
"CKPA2","","CHILKOOT PASS","AK","59.6953","-135.2591","4200","ak"
"CLCA2","","COAL CREEK","AK","65.3041","-143.157","958","ak"
"COHA2","","GLAICER HWY","AK","58.464","-134.7776","253","ak oc"
"CONA2","","THREE FORKS","AK","58.3678","-155.3838","1358","ak"
"COTA2","","COTTONWOOD","AK","65.3499","-155.9352","1310","ak"
"COVA2","","COVILLE","AK","58.8025","-155.5627","1567","ak"
"CPKA2","","CARIBOU PEAK","AK","65.1918","-147.5001","2517","ak"
"CREA2","","CHICKEN CREEK","AK","62.124","-141.8473","5240","ak"
"CRGA2","","CRAIG","AK","55.4739","-133.136","91","ak"
"CRLA2","","CLEARY SUMMIT","AK","65.047","-147.4465","2267","ak"
"CRVA2","","CORDOVA","AK","60.557","-145.755","41","ak"
"CSNA2","","CHISANA","AK","62.0781","-142.0541","3318","ak"
"CSPA2","","CAPE SPENCER","AK","58.1989","-136.6386","87","ak oc"
"CTUA2","","CHITITU","AK","61.2736","-142.6209","4544","ak"
"CXCA2","","CHITINA","AK","61.5212","-144.1978","1232","ak"
"CYTWC","","CAPE YAGATAKA FAA","AK","60.0814","-142.4869","10","ak oc"
"CZOA2","","CHISTOCHINA","AK","62.5653","-144.6647","2300","ak"
"DANA2","","DANGEROUS RIVER AT H","AK","57.4175","-139.0175","78","ak oc"
"DBWA2","","DRY BAY","AK","59.1679","-138.484","29","ak"
"DCVA2","","DAVIES CREEK VALLEY","AK","58.6728","-134.8553","314","ak"
"DELA2","","DELTA","AK","63.3389","-145.8277","2700","ak"
"DHWA2","","DECEPTION HILLS GLAC","AK","59.0906","-138.2146","2190","ak"
"DKLA2","","DUNKLE HILLS","AK","63.3003","-149.5415","2651","ak"
"DOYA2","","DONNELLY","AK","63.8503","-145.7051","1704","ak"
"DRFA2","","DRIFT RIVER TERMINAL","AK","60.5536","-152.1365","57","ak"
"DTLA2","","DELTA JUNCTION","AK","63.6501","-144.0478","1473","ak"
"DVCA2","","DENALI VISITOR CENTE","AK","63.7354","-148.8989","1650","ak"
"DVLA2","","DEVIL MOUNTAIN","AK","66.2759","-164.5308","285","ak"
"DWSA2","","DYEA","AK","59.5119","-135.3468","50","ak"
"EAGA2","","EAGLE SUMMIT","AK","65.4859","-145.4121","3650","ak"
"ECBA2","","EAGLECREST","AK","58.2762","-134.5144","1200","ak"
"EGHA2","","EDGARTON HIGHWAY","AK","61.7088","-145.1622","2080","ak"
"EGYA2","","EAGLE","AK","64.7762","-141.1637","880","ak"
"ELFA2","","ELFIN COVE","AK","58.1947","-136.3469","0","ak"
"ELLA2","","ELLA CREEK","AK","65.2752","-163.82","2300","ak"
"EROA2","","ELDRED ROCK","AK","58.9711","-135.2196","61","ak"
"ERVA2","","EAGLE RIVER","AK","61.2725","-149.3661","372","ak"
"EVCA2","","EIELSON VISTOR CENTE","AK","63.4309","-150.3107","3653","ak"
"FAFA2","","PFAFF MINE","AK","59.1108","-154.8366","2018","ak"
"FFIA2","","FIVE FINGER","AK","57.27","-133.631","70","ak oc"
"FILA2","","FLAT ISLAND LIGHT","AK","59.3317","-151.995","59","ak oc"
"FLLA2","","FAWN LAKE DAM","AK","55.3507","-131.6209","351","ak"
"FLOA2","","FLOWER MOUNTAIN","AK","59.4","-136.2833","2500","ak"
"FPKA2","","FOURPEAKED","AK","58.7058","-153.518","1074","ak oc"
"FRBA2","","FAIRBANKS","AK","64.8487","-147.5744","449","ak"
"FTSA2","","SUMMIT LAKE LODGE","AK","60.6403","-149.5004","1358","ak"
"FWLA2","","FAREWELL","AK","62.7239","-154.0764","723","ak"
"FYRA2","","FT. YUKON","AK","66.57","-145.2508","465","ak"
"GAHA2","","GLENN ALPS","AK","61.0992","-149.6902","2192","ak"
"GDPA2","","GOODPASTURE","AK","64.2381","-145.2669","1520","ak"
"GECA2","","GEORGE CREEK RAWS","AK","63.8375","-144.3502","1525","ak"
"GGLA2","","GATES GLACIER","AK","61.6029","-143.0132","4060","ak"
"GIXA2","","GUARD ISLAND","AK","55.4465","-131.8813","10","ak oc"
"GKRA2","","GLENN HIGHWAY KNIK R","AK","61.4939","-149.2447","79","ak"
"GLIA2","","LONE ISLAND","AK","58.7219","-136.295","85","ak oc"
"GNLA2","","NUNATAK LOWER","AK","58.9778","-136.1009","15","ak"
"GNUA2","","NUNATAK UPPER","AK","58.9838","-136.1003","941","ak"
"GOTA2","","GOAT LAKE","AK","59.5263","-135.1872","2925","ak"
"GPOA2","","GULL RIVER","AK","62.8569","-145.6167","2500","ak"
"GQIA2","","QUEEN INLET","AK","58.9173","-136.5846","1045","ak"
"GRAA2","","GRANITE","AK","60.7269","-149.2896","669","ak"
"GRFA2","","GRAPHITE LAKE","AK","67.0289","-143.2978","764","ak"
"GRZA2","","GRAZELKA RANGE","AK","61.2247","-149.6913","453","ak"
"GYHA2","","GLENN HWY MP 176.6","AK","62.1065","-145.853","2113","ak"
"HADA2","","HAIDA","AK","55.33","-132.6675","671","ak"
"HAYA2","","HAYCOCK","AK","65.1961","-161.0709","405","ak"
"HBRA2","","HERBERT RIVER","AK","58.5239","-134.795","21","ak"
"HCSA2","","HAINES 40NW","AK","59.4508","-136.3611","820","ak"
"HDOA2","","HOODOO HILL","AK","65.595","-163.4113","1495","ak"
"HFHA2","503605","HIDDEN FALLS HATCHER","AK","57.2167","-134.8667","22","ak"
"HHKA2","QCHWC","KLEHINI","AK","59.4387","-136.2727","604","ak"
"HHWA2","","HAINES CHILKAT RVR B","AK","59.4156","-135.9311","122","ak"
"HICA2","","HICKERSON LAKE","AK","59.9147","-152.8925","1048","ak"
"HIDA2","","HAWK INLET DOCK","AK","58.0986","-134.76","30","ak"
