# All climatologies for cumulative degree days > 20, 1991-2020
# Cumulative degree days starting March 1 from ACIS
#
d_since_march1,GULKANA_AIRPORT,TANANA_AIRPORT,KETCHIKAN_AIRPORT,COLLEGE_OBSERVATORY,AUKE_BAY,BETHEL_AIRPORT,ANCHORAGE_MERRILL_FIELD,SKAGWAY_AIRPORT,EAGLE,BIG_DELTA_AIRPORT,BARROW_AIRPORT,KOTZEBUE_AIRPORT,JUNEAU_AIRPORT,KODIAK_AIRPORT,ILIAMNA_AIRPORT,HAINES_AIRPORT,KING_SALMON_AIRPORT,CORDOVA_AIRPORT,SITKA_AIRPORT,MCGRATH_AP,COLD_BAY_AIRPORT,TALKEETNA_AIRPORT,SAINT_PAUL_ISLAND_AIRPORT,KENAI_AIRPORT,NORTH_POLE,NOME_AIRPORT,BETTLES_AIRPORT,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,YAKUTAT_AIRPORT,ALYESKA,NENANA_MUN_AP,HOMER_AIRPORT,NORTHWAY_AIRPORT,CHICKEN,FAIRBANKS_INTL_AP,DUTCH_HARBOR,MCKINLEY_PARK
42,105.28,22.69,804.53,94.63,650.57,45.15,347.54,635.98,44.22,99.74,0.00,0.00,621.21,582.40,213.65,585.77,230.20,521.15,794.63,65.03,464.87,267.52,247.19,269.76,87.70,0.77,2.09,347.57,546.69,408.99,60.76,464.82,45.64,19.65,82.52,623.14,47.51
43,115.21,27.53,827.05,105.28,672.19,51.95,364.24,658.23,50.46,110.82,0.00,0.00,641.81,600.23,226.92,607.27,243.25,537.82,816.43,74.76,479.62,281.65,256.29,283.69,98.63,2.39,4.04,363.70,564.54,425.20,70.55,480.89,53.69,25.39,93.40,638.73,53.32
44,127.02,35.19,850.47,115.92,693.71,60.62,381.85,680.11,57.70,123.24,0.00,0.00,661.93,619.43,241.10,628.16,258.48,555.22,839.00,85.91,494.57,297.07,265.91,299.17,111.22,2.74,6.47,380.43,582.27,441.27,81.79,498.30,62.61,30.58,105.85,655.68,59.84
45,139.78,42.17,874.15,128.46,715.21,68.28,399.92,701.23,65.39,136.34,0.00,0.00,682.78,637.61,255.80,649.05,273.71,573.57,861.92,95.86,509.27,313.17,275.98,315.44,123.76,3.36,8.90,397.75,600.95,458.48,92.27,515.89,72.29,37.29,118.30,672.66,68.34
46,152.35,49.34,898.40,140.27,737.62,76.65,418.33,722.58,75.18,148.67,0.00,0.00,703.91,655.44,269.71,670.68,288.59,591.44,885.40,105.96,524.90,328.95,286.86,331.36,136.33,5.61,13.37,415.02,619.38,475.00,103.75,533.48,81.91,43.65,131.03,689.77,76.50
47,165.56,57.18,921.48,152.54,760.05,85.93,437.81,743.87,83.84,162.21,0.00,0.00,725.19,673.77,284.33,692.53,304.76,609.89,908.18,118.18,540.52,345.45,297.15,348.06,150.26,8.84,18.92,432.65,637.28,491.39,116.46,551.82,92.99,50.39,145.36,707.25,84.95
48,180.99,67.27,944.40,167.10,782.29,96.63,457.88,765.68,94.80,178.98,0.00,0.00,746.44,693.05,300.37,714.12,322.29,628.51,930.85,132.28,555.54,363.35,306.32,365.91,166.09,12.52,26.32,451.35,655.68,508.89,130.27,571.32,105.66,59.06,161.59,724.09,94.63
49,196.39,78.75,967.65,183.14,805.01,107.05,478.55,788.20,106.68,196.02,0.00,0.00,768.46,712.07,316.75,736.38,338.97,646.66,954.67,146.80,570.34,382.15,316.39,384.21,182.20,16.57,33.85,470.87,674.85,526.85,145.23,590.75,120.19,68.51,178.26,740.64,105.77
50,212.49,91.78,991.42,200.22,828.35,118.52,499.68,811.68,121.28,214.98,0.00,0.00,790.98,731.17,332.91,759.51,356.94,665.56,978.22,162.18,585.54,400.43,326.36,402.41,199.77,21.64,42.80,491.22,694.22,545.12,162.06,610.16,135.11,80.11,196.91,757.69,118.98
51,228.77,105.71,1015.67,218.09,851.99,132.12,521.01,834.91,136.62,233.48,0.00,0.00,813.88,750.49,349.79,782.53,374.89,685.08,1002.05,178.90,601.07,419.75,337.07,420.88,217.54,27.57,52.02,511.25,714.05,563.46,178.68,629.69,150.19,91.82,216.14,775.03,132.15
52,245.49,120.74,1040.22,237.33,876.56,146.45,542.29,858.74,153.46,253.25,0.00,1.34,837.25,770.34,368.13,805.57,394.11,705.43,1026.73,196.50,618.14,439.38,348.45,440.68,237.24,35.54,62.65,531.83,734.70,582.00,197.37,650.29,166.01,105.30,236.81,792.30,146.20
53,263.06,136.60,1065.35,258.95,900.78,160.33,563.68,883.39,171.75,273.38,0.00,3.65,860.45,791.02,386.88,829.20,413.89,726.03,1052.00,214.43,634.94,459.21,359.86,460.84,256.95,43.67,74.13,552.51,755.75,601.71,216.04,670.34,183.03,119.47,257.83,810.32,161.15
54,280.73,152.91,1090.70,279.95,925.64,174.88,585.83,907.72,189.98,293.09,0.00,5.63,884.23,812.44,406.00,853.27,433.61,746.73,1077.20,232.58,651.81,479.74,371.89,480.72,275.20,52.05,86.18,574.08,776.95,622.12,234.37,690.84,199.93,133.99,278.18,828.05,176.48
