# ALYESKA
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1980, 1981, 1989, 2012
#
d_since_march1,1982,1983,1984,1985,1986,1987,1988,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
43,335.36,534.71,653.48,307.54,283.02,510.50,560.50,488.64,421.31,417.00,555.50,527.82,359.50,474.50,431.61,561.80,385.94,614.50,549.00,274.00,422.50,433.00,601.50,402.00,234.00,464.00,324.00,506.00,415.50,308.00,444.50,646.00,790.00,284.50,478.50,762.50,327.00,181.50,621.00
44,343.86,548.21,668.98,307.54,299.02,527.50,575.00,508.64,439.81,418.00,572.50,542.82,377.00,493.50,451.11,577.30,400.94,636.00,565.00,279.00,437.50,453.00,620.50,418.50,249.50,470.50,339.50,524.50,430.00,308.00,461.00,659.50,813.00,304.50,500.00,781.00,343.50,199.50,637.00
45,353.36,567.71,687.98,312.54,314.52,541.00,590.50,528.64,456.81,435.00,590.50,555.82,395.50,510.71,469.61,592.30,416.44,655.00,577.50,290.50,455.00,471.00,639.00,433.50,267.50,490.00,355.00,540.00,447.50,314.50,481.00,672.50,840.00,326.50,521.00,800.00,365.00,216.00,654.50
46,367.36,580.21,701.98,327.54,329.52,552.50,607.50,548.64,473.31,454.00,610.00,556.32,411.00,528.21,488.61,610.80,435.94,675.50,597.50,301.00,471.00,491.00,655.00,441.50,285.50,501.00,371.50,552.00,464.50,322.00,501.00,689.50,864.00,348.00,542.00,820.00,384.50,233.00,673.00
47,384.86,593.21,715.48,341.04,348.52,562.00,625.50,569.64,488.81,472.50,632.00,556.32,430.00,546.71,500.61,630.30,453.94,698.50,613.50,312.50,487.00,507.00,672.00,451.50,305.50,510.00,389.00,566.00,484.50,327.50,521.50,709.00,886.00,364.00,562.00,839.00,407.00,252.50,688.50
48,393.36,609.71,725.98,359.04,364.52,573.50,645.50,590.14,506.81,492.50,653.00,565.32,448.50,566.71,511.11,649.80,475.94,718.00,630.50,326.50,506.00,526.00,689.50,464.00,325.50,523.00,409.50,585.00,502.00,333.00,543.50,727.00,908.50,379.50,579.50,857.50,430.50,273.50,705.50
49,404.36,625.21,736.48,375.04,377.02,586.00,663.50,610.14,525.81,510.00,671.50,580.82,464.50,587.71,523.61,668.80,498.44,735.00,649.00,341.50,525.50,545.00,705.50,480.50,345.50,539.00,428.50,603.50,521.00,340.50,561.50,747.50,930.50,397.50,597.50,873.50,455.50,302.50,721.50
50,419.86,640.71,750.98,390.04,393.02,601.50,682.00,630.64,544.31,529.50,687.00,598.32,484.00,606.71,535.61,688.30,518.44,750.50,670.00,357.00,545.50,563.00,725.00,495.50,365.50,557.00,447.50,618.50,541.50,351.00,583.00,767.50,952.00,416.50,619.50,889.50,478.00,330.50,737.00
51,435.36,656.21,769.48,402.54,407.02,618.00,701.50,650.14,562.31,548.50,704.00,617.82,503.00,627.71,548.11,707.30,537.94,768.50,691.00,374.00,564.50,581.00,746.50,511.00,385.00,577.50,464.50,637.00,559.00,365.50,603.50,782.00,972.50,437.00,639.50,905.50,496.50,353.50,754.50
52,450.86,675.21,780.48,418.54,421.02,638.50,717.00,671.64,577.31,567.00,724.00,639.82,522.00,648.71,563.61,726.30,556.94,787.00,710.50,388.00,582.00,599.50,768.50,526.00,404.50,599.00,483.00,656.00,568.50,381.00,627.00,798.00,996.50,458.50,659.00,921.50,516.00,378.50,770.50
53,467.36,696.71,787.48,433.54,433.02,656.00,735.50,692.64,593.81,587.50,747.00,662.32,541.00,671.71,584.11,744.30,574.44,804.00,730.00,399.50,602.50,617.00,788.50,543.50,430.00,619.00,502.50,674.50,588.21,400.50,650.50,815.50,1021.00,483.50,680.00,936.50,540.00,402.00,789.00
54,482.36,715.21,807.89,453.04,447.02,672.50,754.50,714.64,612.31,607.50,769.50,683.82,562.50,690.71,607.61,764.80,597.94,819.50,748.50,413.00,628.00,637.50,813.50,563.00,449.00,641.00,520.50,691.00,608.71,416.00,671.50,834.50,1046.50,509.50,701.50,951.50,563.50,425.50,809.00
55,498.86,740.71,824.89,472.04,461.52,692.50,772.00,735.14,637.31,625.00,792.50,709.32,580.00,711.21,635.11,786.80,618.44,836.00,767.50,428.00,654.50,657.00,835.00,579.00,468.50,666.00,539.00,708.50,630.71,433.50,692.50,855.00,1071.50,532.50,718.50,967.00,584.50,449.00,832.00
56,514.36,763.71,845.09,487.04,477.02,711.00,791.00,756.14,657.81,644.50,817.00,736.82,598.00,728.21,658.61,808.80,634.44,852.50,787.50,444.00,679.00,676.50,862.00,596.50,485.50,680.50,557.50,730.50,652.71,448.50,711.00,878.00,1095.00,554.50,737.50,985.50,606.50,473.00,854.50
57,531.86,786.21,864.09,505.54,492.52,727.50,808.00,777.64,677.81,665.50,841.00,761.32,620.00,748.21,683.11,829.30,647.94,873.00,809.50,464.50,708.50,698.50,892.50,614.50,506.50,700.00,578.50,751.00,671.21,460.50,732.00,903.50,1116.50,579.00,759.50,1005.50,629.00,498.00,878.00
58,549.36,810.71,885.09,523.54,511.52,746.50,826.50,800.14,695.31,689.00,865.00,783.82,641.00,766.21,705.61,851.30,664.44,892.50,830.00,489.00,738.00,718.00,922.00,633.00,526.50,718.50,600.00,774.00,688.21,476.00,757.00,928.00,1140.50,602.50,778.50,1027.00,651.00,523.00,902.00
59,565.86,832.21,909.09,543.04,532.52,766.50,845.00,823.14,716.31,706.50,886.50,804.32,661.50,784.21,729.11,867.80,683.94,913.00,848.50,511.00,766.00,737.00,953.50,649.50,546.00,737.00,623.00,798.00,708.71,490.00,778.50,954.00,1164.00,625.00,795.50,1048.00,672.50,548.50,925.50
60,581.36,851.21,931.59,562.04,553.52,786.50,859.50,845.14,735.81,727.00,907.50,825.82,682.50,804.21,748.61,882.30,701.94,936.00,870.50,537.00,792.50,758.00,986.50,668.00,566.50,756.50,648.50,818.50,730.21,504.00,803.00,978.50,1186.50,647.50,813.00,1070.00,692.50,570.00,948.00
61,597.36,877.71,953.09,581.04,575.02,807.50,878.00,864.14,753.81,745.50,927.50,840.32,706.50,824.71,769.11,899.80,718.94,957.50,891.50,559.00,820.50,786.50,1018.50,683.50,587.50,776.50,676.00,840.50,747.21,519.50,829.50,1002.50,1210.00,670.50,836.50,1099.00,715.00,587.00,968.00
62,611.86,903.21,973.09,598.54,596.02,831.50,895.50,884.14,773.81,763.00,948.50,856.32,730.50,845.71,790.11,919.80,736.44,978.50,908.00,577.00,847.50,814.00,1040.00,702.50,611.50,796.50,704.50,861.00,767.71,538.50,858.00,1027.50,1231.00,690.50,855.50,1127.50,735.00,606.00,990.00
63,628.36,921.21,991.09,619.04,619.52,853.50,916.50,902.64,791.31,785.39,975.00,877.82,758.00,867.21,815.11,942.80,752.44,1000.00,923.50,594.00,876.00,837.50,1067.00,722.00,633.00,816.00,733.50,879.00,789.71,556.50,890.00,1052.00,1253.00,710.50,874.00,1155.50,758.00,628.00,1008.50
64,647.36,941.71,1009.09,638.54,638.02,879.00,937.00,922.64,810.31,799.89,998.00,896.82,781.00,890.71,839.61,958.80,767.94,1023.00,936.50,611.00,903.00,863.50,1094.50,742.00,655.00,835.50,762.50,901.50,809.21,574.00,924.50,1077.00,1276.50,733.50,892.50,1180.00,782.50,652.50,1030.00
65,666.36,958.71,1026.59,660.54,659.52,906.00,955.00,944.64,830.31,813.89,1020.00,915.82,803.00,918.21,866.61,980.80,788.94,1044.00,951.50,629.50,928.00,892.50,1122.50,763.50,681.00,857.50,786.50,926.00,828.21,589.00,959.00,1105.00,1299.50,755.50,910.50,1205.00,801.00,672.00,1051.00
66,688.97,979.21,1044.59,682.04,681.02,928.50,977.00,967.14,852.31,830.89,1040.00,937.32,824.50,946.71,894.61,999.30,808.44,1064.00,966.00,649.00,946.00,923.50,1148.50,781.50,702.00,878.50,811.00,949.50,850.71,609.00,989.50,1132.00,1321.50,779.50,933.50,1226.00,827.50,693.00,1075.00
67,713.47,1001.71,1062.09,705.54,701.52,951.00,998.50,993.64,875.81,846.39,1061.50,959.32,843.00,975.21,923.61,1018.30,829.44,1086.00,983.00,665.50,967.00,956.00,1175.50,801.50,725.50,900.00,830.50,971.50,875.71,629.00,1012.50,1158.00,1344.50,806.50,954.50,1251.00,856.00,717.50,1099.50
68,733.97,1026.21,1082.09,726.04,722.52,975.00,1017.50,1014.14,893.31,863.39,1084.50,978.32,863.00,1001.71,948.61,1038.30,851.94,1104.50,1004.50,686.50,990.50,989.00,1207.50,822.00,748.00,923.42,855.50,992.00,901.71,648.50,1040.00,1183.50,1370.00,830.50,978.00,1277.00,880.50,743.00,1125.50
69,755.97,1050.60,1107.09,740.04,741.52,1001.00,1039.50,1034.64,914.31,882.89,1108.50,997.82,891.50,1030.71,973.61,1057.80,873.44,1127.50,1026.50,709.00,1019.00,1016.50,1238.00,840.00,773.00,946.42,884.50,1014.50,926.71,669.50,1069.00,1207.50,1394.00,855.50,1004.00,1302.50,904.50,767.00,1150.00
70,773.97,1071.60,1132.59,756.04,761.52,1027.00,1063.00,1058.64,931.31,902.39,1131.00,1022.32,925.50,1061.21,1003.61,1073.80,892.94,1149.00,1045.50,728.50,1042.50,1041.50,1270.50,861.00,796.00,966.92,910.50,1040.00,949.21,692.50,1099.50,1233.00,1417.50,881.00,1032.00,1327.00,939.00,791.00,1173.00
71,793.47,1093.60,1157.59,772.54,780.02,1051.00,1087.50,1082.14,949.31,920.39,1153.50,1043.82,952.00,1089.71,1029.61,1091.80,912.44,1172.00,1062.50,748.50,1063.50,1071.00,1302.00,883.00,820.50,991.92,937.50,1063.00,974.71,716.50,1132.50,1259.00,1444.00,909.50,1057.50,1352.50,973.00,813.50,1197.00
