# COLD_BAY_AIRPORT
# Cumulative degree days > 20 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
54,794.00,910.00,723.00,807.50,668.50,480.00,525.00,739.00,447.50,680.50,760.50,809.50,623.50,802.00,564.00,539.50,906.50,595.00,879.00,473.00,668.50,696.00,781.50,698.50,620.50,718.50,677.50,429.09,530.00,507.00,361.00,618.00,351.50,651.50,857.50,769.00,868.50,547.00,882.00,906.50,834.50,819.00,641.50
55,806.00,931.00,739.00,824.50,687.50,488.00,535.50,755.00,463.50,690.50,774.00,827.00,639.00,818.50,578.50,562.50,920.50,612.00,901.50,485.50,680.50,713.00,804.00,716.00,638.50,741.50,683.50,447.59,538.00,527.00,375.50,629.50,365.00,671.00,880.50,786.50,894.00,569.00,903.50,919.00,855.50,839.50,660.00
56,824.50,952.00,752.00,847.50,710.50,494.00,547.00,773.00,479.00,704.50,787.50,844.50,652.50,836.50,597.00,579.50,932.50,630.50,926.50,497.50,693.50,730.50,825.50,733.00,655.00,763.00,688.00,464.59,543.00,546.00,385.50,642.00,385.50,689.00,903.50,802.50,916.00,592.00,922.00,933.00,876.00,862.00,679.00
57,842.50,972.00,768.50,867.50,730.00,501.50,562.50,793.50,493.50,716.00,802.00,859.00,666.00,859.50,611.00,596.00,945.00,649.50,944.50,515.00,711.00,748.00,847.50,752.50,671.50,787.00,698.00,478.09,549.50,566.00,391.50,658.50,402.00,703.00,926.50,820.50,935.50,613.50,944.50,958.50,895.50,887.50,697.00
58,860.50,994.50,779.00,885.00,750.50,508.00,580.00,810.50,506.00,735.50,820.00,875.50,679.50,884.00,628.00,614.00,958.00,668.50,958.00,531.50,728.00,763.50,870.00,768.00,685.00,811.00,706.50,491.59,559.50,584.00,398.00,678.00,413.00,714.50,946.00,839.00,955.00,634.00,967.50,986.50,910.00,911.50,716.00
59,876.50,1020.00,787.50,903.50,769.50,521.00,594.00,830.00,521.00,758.00,843.00,892.00,695.50,907.00,645.50,630.50,976.50,690.00,972.50,550.50,743.00,778.50,894.00,791.50,701.50,829.50,713.50,511.09,570.00,603.50,406.00,695.50,426.50,732.50,968.00,859.00,973.50,654.00,992.00,1013.50,926.00,927.50,737.50
60,892.00,1041.50,793.50,923.00,788.00,530.50,614.00,848.00,540.00,781.00,866.00,910.00,709.00,928.00,662.00,645.50,994.00,711.50,996.00,570.00,762.50,792.00,913.50,815.00,723.50,848.00,724.50,528.09,578.50,620.00,416.00,716.50,436.50,746.50,991.00,879.50,993.50,673.00,1012.00,1038.50,938.00,946.00,754.50
61,909.00,1062.50,801.00,945.50,799.00,540.00,631.00,865.50,554.50,800.00,882.00,932.50,723.00,948.50,680.50,658.50,1012.00,735.00,1017.50,585.00,779.50,805.00,931.00,839.50,749.00,869.00,740.50,542.09,586.50,641.00,425.50,736.00,448.50,762.50,1012.50,897.50,1014.00,690.00,1030.50,1060.50,957.00,966.00,766.00
62,928.00,1085.50,813.00,963.50,806.50,556.50,649.50,882.50,574.00,821.00,892.50,956.50,737.00,966.00,694.50,673.50,1036.00,756.50,1041.00,599.00,792.00,816.00,953.50,864.00,772.00,892.50,759.00,556.59,592.50,668.50,436.50,755.50,465.00,775.50,1033.00,916.00,1033.50,708.00,1051.50,1080.50,977.50,983.00,784.50
63,946.00,1103.00,827.50,981.00,815.50,574.00,668.00,898.00,595.50,841.50,905.00,978.50,749.50,986.00,706.50,691.50,1061.00,774.50,1062.00,608.00,806.00,827.50,976.50,890.00,793.50,916.50,775.50,570.59,600.00,687.00,452.50,775.50,477.50,787.50,1057.00,936.00,1056.50,722.50,1069.00,1100.50,993.00,999.50,798.00
