# CORDOVA_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
37,368.50,509.00,188.17,378.00,489.50,222.00,177.50,331.00,400.50,205.00,323.00,212.00,293.00,355.50,409.00,237.50,292.00,263.00,350.50,224.50,364.00,335.50,90.50,270.50,331.50,448.00,231.00,94.50,307.50,196.00,342.50,231.50,176.00,196.00,230.00,403.00,521.00,186.00,280.00,522.50,199.50,131.00,429.00,216.50
38,386.50,523.50,198.17,387.50,502.00,229.50,177.50,344.50,411.50,210.50,337.00,223.50,301.00,372.50,422.00,254.50,297.50,278.00,361.50,225.50,373.50,346.50,91.50,287.50,349.00,462.50,239.00,112.00,310.00,203.00,346.00,240.50,182.50,207.00,238.50,415.00,539.50,196.00,296.50,541.00,208.00,141.50,438.50,226.00
39,405.00,533.50,211.17,395.00,522.50,234.00,177.50,363.50,426.00,219.50,350.00,234.50,310.50,390.50,436.50,268.00,308.00,290.50,372.00,230.50,381.50,356.50,93.50,303.50,365.00,480.50,253.00,125.50,316.50,212.50,351.50,251.00,187.00,212.50,244.50,426.50,556.00,206.50,316.00,557.50,212.50,141.50,448.00,239.50
40,419.50,544.50,219.67,402.00,540.50,234.00,177.50,383.50,437.50,235.00,361.50,246.50,316.50,398.00,454.00,283.00,319.00,308.50,384.00,240.00,388.50,370.00,95.50,322.00,377.00,496.50,267.00,139.00,321.50,222.00,357.00,259.00,193.00,212.50,247.50,438.50,570.50,220.50,334.00,571.50,217.00,141.50,457.00,248.00
41,435.00,554.00,233.17,405.50,559.00,234.00,180.00,402.50,449.00,250.00,375.50,260.50,325.50,408.00,467.50,297.00,330.50,327.50,396.00,251.00,399.00,384.00,103.50,339.00,390.00,512.00,277.00,149.50,325.50,233.00,367.00,267.00,206.50,212.50,253.00,450.50,587.00,234.50,348.50,588.00,223.50,141.50,468.00,255.50
42,448.00,562.00,244.67,418.00,575.00,234.00,184.50,416.00,463.00,263.50,390.50,274.50,330.50,425.00,479.00,314.50,341.00,340.00,406.00,261.50,412.00,396.00,107.00,352.00,406.00,526.50,288.50,161.50,328.00,240.00,379.50,275.50,220.00,212.50,263.00,459.50,605.50,252.50,363.00,603.50,237.00,154.00,476.00,265.00
43,458.00,570.50,254.17,431.50,593.00,236.50,192.00,426.50,475.50,278.50,404.00,287.50,340.00,439.50,491.50,327.00,352.50,354.00,414.00,271.00,425.00,408.00,107.00,368.50,419.50,538.50,301.50,174.50,338.00,245.00,392.00,289.00,228.50,217.00,275.50,467.50,624.50,269.50,378.00,617.00,250.00,169.50,486.00,276.50
44,468.50,579.50,265.17,446.50,607.50,240.50,200.50,439.50,490.00,291.50,417.00,299.00,353.00,456.00,504.00,337.50,368.50,363.50,428.00,284.00,437.50,419.50,112.00,384.50,439.00,549.00,312.00,187.00,350.00,256.00,403.50,301.50,240.00,219.50,291.50,475.50,643.50,286.00,390.50,629.00,262.50,183.50,495.50,286.50
45,480.00,588.00,276.67,458.00,621.50,249.50,213.00,450.00,502.00,305.00,431.00,311.00,370.50,473.00,512.50,350.50,389.50,376.00,443.50,295.50,455.50,432.50,115.50,395.00,456.50,562.50,323.50,201.50,360.50,267.50,414.50,313.50,257.50,222.50,304.50,491.00,661.50,299.00,403.50,643.50,280.00,197.50,504.50,301.00
46,491.50,595.00,286.67,469.00,631.00,257.00,224.00,459.50,519.50,314.00,446.00,322.50,384.00,495.00,515.50,364.50,407.00,385.50,458.50,309.50,467.50,445.00,121.00,412.50,475.00,575.00,335.00,214.50,368.00,281.50,424.00,324.50,273.50,232.00,318.00,505.00,677.00,310.50,414.00,657.50,296.50,211.50,513.00,315.00
