# HOMER_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
36,338.00,398.00,205.50,425.00,473.00,170.50,164.00,329.50,317.00,182.50,298.50,227.50,248.50,342.00,280.50,190.50,299.00,191.50,352.50,142.00,275.50,288.50,141.50,205.50,194.50,318.50,208.50,67.50,302.50,146.50,204.00,173.32,99.50,236.00,314.50,504.50,459.40,142.00,259.00,514.00,203.00,127.50,383.00,194.50
37,351.00,409.50,219.00,433.50,484.00,177.50,164.00,340.00,322.50,190.50,312.50,237.50,260.50,354.00,292.00,204.50,303.50,208.50,361.00,144.00,281.00,301.50,149.50,216.00,209.00,330.50,221.50,82.50,305.50,155.00,206.50,185.82,104.00,236.00,325.00,522.50,476.90,155.00,275.00,530.50,206.50,130.00,395.00,196.50
38,364.00,419.00,230.50,440.50,493.50,180.50,164.00,352.50,331.00,201.00,325.50,250.00,272.00,364.50,305.00,222.50,314.00,222.50,371.50,148.00,287.00,311.50,156.50,228.50,222.50,342.50,233.50,99.00,308.50,160.50,210.50,196.82,110.00,236.00,331.50,537.50,491.40,169.50,289.50,548.00,213.50,133.00,400.00,198.00
39,377.50,433.50,242.00,447.00,509.00,180.50,164.00,368.50,339.00,210.50,341.00,263.00,280.00,379.00,318.50,236.00,327.00,236.00,384.00,155.50,294.50,321.00,163.00,241.00,237.50,354.50,247.00,114.00,308.50,166.00,215.50,205.82,120.00,236.00,336.50,552.50,509.90,185.00,308.00,563.50,220.00,133.00,410.50,198.00
40,390.00,447.00,249.50,454.50,520.00,180.50,169.50,382.00,347.00,228.50,352.50,274.00,291.00,391.00,336.00,247.50,339.50,255.00,397.00,166.00,308.00,338.50,168.00,254.50,251.50,370.00,258.50,127.50,311.50,176.50,224.00,213.82,128.00,236.00,340.50,567.00,525.90,200.50,329.00,579.50,227.50,133.00,421.00,198.00
41,404.00,457.00,256.50,465.00,527.00,180.50,178.00,389.50,361.00,244.50,366.50,287.00,294.50,404.00,350.50,262.00,354.00,276.00,407.50,174.50,322.50,350.00,168.00,273.00,265.50,384.50,266.00,138.50,312.00,184.50,236.00,218.82,135.00,236.00,348.50,579.50,539.90,214.00,346.00,596.00,238.00,140.50,433.00,205.50
42,418.00,465.50,261.50,478.50,538.00,180.50,190.00,395.00,375.00,257.50,384.50,298.50,294.50,421.00,363.50,277.00,365.50,290.50,420.50,180.50,337.50,362.00,169.00,291.50,280.00,396.00,281.50,148.00,315.00,193.50,248.50,229.32,145.00,236.00,365.00,588.50,557.90,231.00,361.50,614.00,253.50,156.00,446.50,217.50
43,431.50,474.00,267.50,491.50,552.00,180.50,202.00,401.50,386.50,269.50,400.00,307.00,294.50,435.00,372.00,290.50,379.50,305.00,435.00,185.50,352.00,375.00,173.00,309.00,293.00,408.50,296.00,157.00,320.50,203.00,261.00,234.32,154.50,237.00,381.00,598.50,575.90,249.00,377.50,627.50,268.50,170.00,458.50,228.50
44,442.50,482.50,271.50,502.50,564.50,180.50,215.50,416.00,398.50,280.50,415.00,323.50,305.00,447.50,382.00,303.00,395.50,320.00,452.00,197.50,363.50,386.50,181.00,320.50,305.00,421.00,307.00,168.00,333.00,216.50,271.00,242.32,167.00,242.50,395.50,612.50,593.90,266.00,390.50,642.00,282.50,183.00,470.00,237.50
45,453.00,492.50,282.50,518.00,571.50,191.00,227.50,424.50,411.50,291.50,428.50,339.50,324.00,465.00,382.00,317.50,416.00,329.50,465.00,207.00,378.50,396.50,188.50,331.50,321.00,436.50,314.50,180.50,341.00,231.50,278.50,250.82,181.50,249.50,412.50,626.50,611.40,281.00,403.00,656.00,301.50,196.50,485.50,249.50
46,465.50,503.50,290.50,529.00,577.50,199.50,239.00,426.50,425.00,302.50,445.00,353.00,339.00,482.00,382.00,335.00,432.50,340.50,478.50,221.00,392.50,409.50,196.00,341.50,333.50,449.50,321.00,192.50,343.50,247.50,288.00,259.32,196.00,257.50,430.00,642.00,629.90,298.50,421.00,671.00,320.50,210.00,501.00,260.00
47,480.50,516.00,292.00,540.00,585.00,209.00,247.50,429.50,438.50,310.50,459.00,366.50,351.50,499.50,392.50,350.50,450.00,351.50,495.00,239.00,407.50,420.50,210.00,357.00,346.50,463.00,331.00,202.00,353.00,261.00,300.00,267.32,208.50,262.50,446.00,655.50,646.40,313.50,436.50,682.00,342.00,225.50,515.00,270.50
48,496.00,534.50,292.00,552.50,596.00,214.50,258.50,435.00,450.00,323.00,478.50,379.00,364.00,517.50,409.00,367.50,469.50,362.00,511.50,256.00,419.00,433.50,225.50,377.00,360.50,479.00,341.00,216.00,363.50,271.50,313.50,276.82,220.50,271.50,463.50,677.50,660.90,328.00,452.50,691.50,364.00,250.50,527.50,279.50
49,509.50,550.50,297.00,563.00,605.00,217.00,270.00,447.50,466.50,334.50,499.50,393.00,380.50,533.50,422.00,383.50,488.00,372.00,527.50,270.50,434.00,446.00,239.50,391.00,375.50,498.00,350.00,228.00,372.50,284.00,325.50,285.82,235.00,280.00,485.00,696.50,675.33,343.50,470.50,703.00,386.50,272.50,538.50,289.50
50,523.00,564.50,308.50,576.50,616.00,227.50,280.50,457.50,484.00,347.00,519.00,410.50,395.50,549.00,441.50,397.50,503.00,382.00,544.00,284.50,450.00,462.50,252.50,408.00,390.00,517.50,361.00,243.00,382.50,299.00,336.50,294.82,247.00,290.00,503.50,711.00,693.33,359.50,485.50,711.50,405.50,291.50,550.50,303.00
51,535.50,580.50,322.50,592.00,621.00,238.00,288.00,469.50,496.50,360.00,534.50,427.00,409.00,561.00,461.50,412.00,523.00,393.00,559.00,297.50,465.00,481.00,264.00,423.00,404.50,533.50,375.50,258.50,393.00,311.00,350.00,305.32,257.50,300.50,523.00,727.50,710.33,377.00,501.00,721.00,425.00,310.50,561.50,318.50
52,548.50,597.00,334.50,608.00,626.50,244.50,293.00,483.50,506.00,374.50,550.00,441.00,423.50,576.50,481.50,431.50,543.50,405.50,574.00,309.50,479.50,499.50,273.00,439.00,420.50,554.50,389.50,276.00,407.00,322.50,362.50,321.32,269.50,312.50,541.00,744.50,731.33,400.50,519.50,728.50,445.00,329.00,577.50,331.50
53,559.50,611.00,348.50,627.50,635.50,254.50,299.00,499.00,518.00,394.00,564.50,452.00,438.50,593.50,499.00,450.50,562.00,425.50,589.00,320.50,491.50,513.50,281.50,454.50,437.50,574.00,403.00,293.00,422.00,334.00,372.50,338.82,280.50,328.00,557.50,760.00,754.33,423.00,537.50,734.50,461.50,350.50,594.00,341.00
54,575.00,625.00,365.00,644.50,643.50,264.00,306.00,514.00,532.50,409.00,583.50,468.00,455.50,609.00,516.50,469.50,579.50,449.00,602.50,334.50,502.00,528.00,291.50,473.50,453.00,594.00,415.50,311.50,433.50,347.50,383.00,354.82,289.50,342.50,572.50,781.00,773.83,444.50,555.50,743.50,477.50,369.00,609.00,350.50
55,589.50,640.00,378.50,661.00,656.00,274.50,314.00,526.00,545.00,422.50,601.50,484.00,471.50,625.50,537.00,488.00,597.50,470.00,618.00,347.00,515.00,542.50,301.00,491.00,471.50,615.00,427.00,327.50,443.50,361.00,394.50,369.32,304.50,356.00,586.50,803.00,792.83,461.50,573.50,757.00,495.50,387.00,625.50,362.00
56,607.50,655.50,391.00,677.50,672.00,285.50,323.50,540.50,560.00,438.00,614.50,501.00,489.00,643.50,553.50,507.50,612.00,489.00,633.00,357.50,528.00,561.50,314.00,507.50,489.00,635.50,439.50,342.50,454.00,382.50,413.50,382.82,320.50,366.50,607.00,826.50,812.33,482.00,589.50,771.50,510.50,407.00,641.50,375.00
57,624.50,673.00,402.00,692.50,692.00,297.00,341.00,556.00,573.00,457.00,631.00,514.00,504.50,664.50,571.50,525.50,629.50,505.00,649.00,368.00,542.50,576.00,331.50,525.50,507.00,656.00,459.00,358.50,469.50,401.00,430.00,394.32,335.50,380.50,626.00,848.00,829.83,500.50,605.50,786.50,524.00,422.50,658.50,390.50
58,642.00,687.50,414.00,710.50,712.00,304.50,356.00,569.50,585.50,475.00,646.50,530.50,522.00,687.50,590.00,548.50,642.00,523.50,656.50,380.00,557.50,593.00,356.00,543.50,523.50,681.00,474.50,371.00,480.50,416.50,449.00,403.32,352.50,392.50,645.50,870.00,852.33,516.50,622.50,803.00,540.00,439.00,675.00,405.00
59,657.00,703.00,427.00,727.50,731.00,314.50,372.00,589.00,598.50,491.50,663.00,547.00,537.00,706.50,606.00,568.50,655.00,539.00,665.00,391.00,573.00,614.00,380.50,564.50,545.00,708.00,486.50,383.50,489.50,432.50,462.50,416.82,373.50,402.00,663.50,892.00,871.83,536.50,640.50,824.50,554.00,456.00,687.50,418.00
60,674.50,716.50,439.50,746.50,746.00,326.50,388.00,605.00,610.50,511.50,683.50,563.50,551.50,726.00,620.50,587.50,669.00,554.50,674.50,405.50,590.50,628.50,403.50,588.00,568.00,733.00,499.50,399.50,501.00,445.50,475.50,429.82,387.00,416.00,682.00,911.00,892.83,553.50,661.00,846.50,570.00,470.50,705.50,429.50
