# NOME_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
50,112.50,107.00,37.50,54.50,76.50,5.00,27.00,80.00,67.00,61.50,106.00,52.00,43.50,134.50,42.00,84.50,67.50,75.50,112.50,42.00,90.00,31.50,42.00,46.50,154.50,17.00,11.00,62.00,41.00,2.50,49.50,18.00,13.50,18.50,81.00,27.50,149.50,73.00,71.50,103.50,127.00,50.50,109.50,21.50,29.07
51,117.50,107.00,37.50,54.50,76.50,5.00,27.00,80.00,67.50,63.00,113.50,63.00,43.50,144.50,42.00,84.50,82.50,75.50,118.00,42.00,92.00,40.00,42.00,57.00,164.00,17.00,11.00,62.50,52.00,2.50,49.50,18.00,13.50,18.50,95.00,27.50,167.00,83.00,71.50,103.50,127.00,58.00,118.50,21.50,30.00
52,117.50,107.00,37.50,64.00,76.50,5.00,27.00,80.00,73.00,66.00,113.50,75.00,43.50,157.00,42.00,94.00,100.50,75.50,126.50,42.00,92.00,44.00,42.00,67.50,173.00,21.00,11.00,76.00,61.00,9.00,49.50,18.00,15.50,18.50,111.00,27.50,183.00,96.50,78.00,103.50,127.00,72.00,130.50,21.50,32.97
53,119.00,107.00,37.50,75.50,76.50,5.00,27.00,80.00,79.00,73.50,113.50,84.00,43.50,161.50,42.00,102.00,114.50,75.50,137.50,42.00,92.00,44.00,42.00,74.00,183.00,21.00,11.00,94.00,65.00,14.00,49.50,24.00,26.00,19.50,131.00,33.00,195.00,108.50,85.50,105.50,129.00,85.00,143.50,21.50,36.10
54,125.50,107.00,38.00,82.00,76.50,5.00,27.00,80.00,89.50,77.50,113.50,93.50,45.50,166.00,42.00,111.50,120.50,85.00,150.00,42.00,92.00,44.00,42.00,84.00,183.50,21.00,11.00,104.00,65.00,20.50,49.50,39.00,36.50,26.50,146.50,44.00,205.00,124.50,93.00,107.00,137.00,96.00,154.00,21.50,39.48
55,128.00,107.00,38.00,87.50,76.50,5.00,27.00,80.00,98.00,77.50,114.50,97.00,54.00,171.00,42.00,120.50,121.50,96.00,157.50,42.00,92.00,45.00,42.00,92.00,183.50,30.00,11.00,110.00,65.00,28.00,49.50,48.00,43.50,26.50,161.00,56.00,217.50,140.00,98.50,107.00,145.00,111.00,161.00,21.50,43.10
56,140.50,107.00,38.00,98.00,77.00,5.00,27.00,80.00,108.50,77.50,120.50,102.00,55.00,176.00,43.50,126.50,121.50,107.50,162.00,42.00,92.00,47.00,50.00,101.00,187.50,41.50,11.00,116.50,65.00,37.00,49.50,52.50,53.00,31.00,178.00,61.00,236.00,154.50,103.50,109.00,146.50,128.00,166.50,25.00,46.88
57,151.50,110.00,38.00,107.00,84.00,5.00,27.00,84.00,126.50,77.50,126.50,108.00,55.00,184.50,51.00,130.00,121.50,122.50,163.50,42.00,93.00,47.00,57.00,109.00,193.50,55.50,11.00,121.00,65.00,44.00,50.00,59.00,58.50,33.50,194.00,68.00,251.00,164.50,107.50,111.50,146.50,139.50,174.00,25.00,50.85
58,160.00,118.50,38.00,117.50,84.00,5.00,27.00,96.50,142.00,78.50,126.50,119.00,58.50,192.00,58.50,136.50,121.50,133.50,163.50,45.50,95.00,47.00,64.50,115.00,198.00,65.50,11.00,124.00,65.00,53.00,50.50,70.00,62.00,33.50,197.50,78.00,266.00,172.50,110.50,119.00,146.50,142.00,187.00,28.50,54.52
59,165.50,127.00,38.00,126.00,85.50,5.00,27.00,111.00,152.00,86.00,126.50,132.00,58.50,198.00,61.00,145.00,121.50,145.00,163.50,52.00,96.00,47.00,72.00,125.00,210.00,78.00,11.00,130.50,65.00,63.50,53.50,80.50,62.00,35.00,205.00,88.00,281.50,185.50,113.00,129.00,146.50,142.00,202.00,35.00,59.19
60,167.00,135.00,38.00,136.00,85.50,5.00,32.50,121.00,159.00,97.50,126.50,144.00,58.50,204.50,65.00,151.50,121.50,155.50,163.50,53.00,96.00,47.00,74.50,134.50,224.50,92.50,11.00,136.00,65.00,76.50,57.50,88.00,62.00,35.00,215.00,94.50,297.00,201.00,115.50,139.50,155.50,142.00,222.50,44.00,64.11
61,173.50,138.50,38.00,146.50,85.50,5.00,36.00,133.50,167.00,106.50,128.00,153.00,58.50,210.50,67.00,161.00,121.50,168.00,170.50,53.00,96.00,47.00,74.50,149.00,245.00,111.00,13.00,139.50,65.00,90.00,57.50,93.50,62.00,35.00,226.00,95.50,312.00,217.00,115.50,152.50,164.00,142.00,237.50,53.50,68.24
62,180.50,146.50,38.00,159.50,85.50,5.00,46.00,146.00,180.50,115.50,128.00,165.50,58.50,219.00,73.00,174.00,126.00,183.00,170.50,53.00,96.00,47.00,74.50,163.50,267.50,124.50,24.00,144.50,65.00,101.50,58.00,94.50,62.00,35.00,238.00,97.50,322.00,228.50,115.50,164.00,174.50,150.00,241.50,60.50,72.39
63,184.50,150.00,38.50,171.50,85.50,5.00,55.50,152.00,192.00,125.50,128.00,178.50,58.50,225.00,83.50,181.50,134.00,193.50,170.50,53.00,96.50,47.00,82.00,180.50,285.00,131.00,28.50,150.00,65.00,109.50,59.50,96.50,62.00,35.00,245.50,106.00,331.50,236.50,115.50,170.50,187.50,161.50,241.50,65.00,76.17
64,199.00,160.50,44.50,179.50,85.50,7.50,61.50,152.50,206.50,132.00,131.00,193.00,58.50,237.50,93.00,184.00,143.00,201.00,170.50,53.00,96.50,47.00,88.00,195.50,296.00,138.50,38.50,152.50,71.00,115.00,61.50,96.50,62.00,35.00,250.50,119.00,341.50,241.50,121.50,176.50,203.00,167.00,246.00,69.00,80.30
65,220.00,173.00,52.00,189.50,85.50,7.50,70.00,153.50,215.50,138.50,135.50,212.00,58.50,246.00,108.50,189.00,154.00,213.50,176.50,53.00,100.50,47.00,96.00,207.50,308.50,147.00,49.00,153.50,81.50,122.00,63.00,97.00,66.00,35.50,250.50,131.50,357.50,251.50,131.00,187.50,217.00,172.50,252.50,69.00,87.07
66,241.00,183.00,62.00,200.00,85.50,9.00,78.50,156.00,225.50,145.00,148.50,236.00,58.50,249.00,123.00,200.00,164.50,228.00,177.50,53.00,105.00,47.00,102.50,218.00,319.00,158.00,64.50,158.50,92.00,123.00,69.00,97.50,69.00,36.50,258.00,142.50,376.00,269.00,135.50,199.00,224.00,186.00,255.50,69.00,94.20
