# MCGRATH_AP
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
36,101.00,146.00,85.50,28.00,99.50,20.50,0.00,109.00,48.50,11.00,104.50,40.00,65.00,109.50,122.00,75.00,53.50,36.00,176.50,27.50,29.00,18.00,23.00,35.00,34.50,38.00,12.00,42.00,79.00,3.00,0.00,44.00,7.00,46.00,24.00,116.00,97.50,64.00,38.50,163.00,74.00,19.00,23.50,20.50,124.00
37,108.00,149.00,97.00,29.50,99.50,20.50,0.00,112.00,48.50,20.50,119.50,44.00,69.50,114.50,122.00,85.00,53.50,52.00,182.00,27.50,29.00,26.50,23.00,35.00,49.00,40.00,12.00,60.00,79.00,8.50,0.00,48.00,7.00,46.00,24.00,131.00,109.00,72.00,38.50,174.00,74.00,19.00,23.50,20.50,130.00
38,117.00,153.00,107.50,29.50,99.50,20.50,0.00,114.00,48.50,33.50,128.00,50.00,77.50,119.00,122.00,90.00,53.50,65.50,188.50,27.50,29.00,36.00,23.00,35.00,63.50,44.50,15.50,75.50,79.00,13.50,0.00,59.00,7.00,46.00,24.00,139.50,117.00,78.50,44.50,185.00,74.00,19.00,23.50,20.50,130.00
39,123.00,161.00,114.00,29.50,99.50,20.50,0.00,114.00,48.50,40.50,138.00,51.00,84.00,125.00,122.00,100.00,53.50,77.50,202.50,27.50,29.00,40.50,23.00,35.00,80.00,48.50,25.50,92.50,79.00,18.50,0.00,62.00,8.00,46.00,24.00,151.50,128.50,87.00,51.00,193.50,74.00,19.00,23.50,20.50,130.00
40,123.00,165.50,114.00,29.50,99.50,20.50,0.00,114.00,48.50,50.50,149.50,51.00,84.00,134.50,122.00,110.00,54.00,93.00,215.00,35.00,29.00,52.00,23.00,36.50,93.00,52.50,28.00,109.50,79.00,30.00,0.00,63.50,11.00,46.00,24.00,161.00,140.50,95.50,58.00,206.50,80.00,19.00,23.50,20.50,130.00
41,123.00,167.00,114.00,29.50,99.50,20.50,3.00,114.00,60.50,61.50,161.50,51.00,84.00,146.00,122.00,119.00,56.50,107.50,226.50,36.50,37.50,60.00,23.00,41.50,106.00,53.00,28.00,122.00,79.00,35.50,10.00,63.50,14.50,46.00,24.00,166.50,152.50,105.00,66.50,216.50,80.00,19.00,24.00,20.50,137.00
42,123.00,167.50,114.00,29.50,99.50,20.50,9.50,114.00,73.00,67.50,172.00,51.00,84.00,156.00,122.00,126.00,59.50,120.00,233.50,37.00,52.50,60.00,23.00,56.50,116.50,53.00,29.00,134.50,79.00,40.00,18.00,63.50,22.50,46.00,28.00,168.50,164.00,114.00,83.00,232.50,90.00,27.50,27.00,20.50,138.50
43,127.50,167.50,114.00,31.50,99.50,20.50,16.50,114.00,82.50,80.50,186.00,51.00,84.00,170.50,124.50,135.50,65.50,129.50,247.50,39.50,68.00,60.00,28.50,68.50,126.00,53.50,31.50,144.00,79.00,41.00,24.50,63.50,30.00,46.00,44.00,174.00,171.00,125.50,96.50,243.00,99.50,37.00,35.00,20.50,139.00
44,136.00,167.50,114.00,36.00,99.50,20.50,26.50,120.00,96.00,90.00,200.50,64.50,84.50,184.50,124.50,145.50,75.00,129.50,262.00,49.00,85.00,60.00,32.50,79.50,138.00,55.00,31.50,152.50,79.00,45.00,26.50,63.50,38.50,46.00,57.00,179.00,181.00,135.50,108.50,256.50,108.50,42.00,41.50,20.50,140.00
45,139.00,167.50,114.00,46.00,99.50,24.00,33.50,120.00,112.50,96.00,212.00,78.00,94.50,200.00,124.50,161.50,79.50,129.50,277.00,55.50,96.50,60.00,33.00,93.50,154.50,57.00,31.50,163.50,79.00,46.50,31.50,63.50,54.00,46.00,66.50,185.50,189.00,147.50,116.00,268.00,122.50,53.50,49.00,20.50,151.00
